ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,win_prob,rally
3,00:07:55,14263.0,1,3,LEE Cheuk Yiu,3,挑球,0,1,2.0,3,442.0,482.0,2.0,3,455.0,316.0,落點判斷失誤,對手落點判斷失誤,LEE Cheuk Yiu,,8,-0.8375805285001628,0.542038136030999,9,0.0428005851554633,-0.6755663422746615,0,1,60,3121,1.0,1,True,1,2.0,-1,0.5155460834503174,0.240715280175209,0.2437386661767959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2323011308908462,5
1,00:09:20,16805.0,1,6,LEE Cheuk Yiu,1,發短球,0,1,2.0,8,,,2.0,7,596.0,391.0,,,NG Ka Long Angus,,9,0.1335652957036483,0.8518013236796053,9,-0.516760343345852,-0.9479823024476228,0,1,60,3124,0.0,1,True,0,5.0,1,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0724441558122634,8
2,00:09:21,16830.0,1,6,NG Ka Long Angus,2,推撲球,0,1,2.0,8,596.0,391.0,1.0,3,858.0,620.0,,,NG Ka Long Angus,,8,-0.6015955409031886,-0.3907196123825445,9,-0.1075298433889163,0.8688870710789794,0,1,60,3124,0.25,0,True,0,5.0,1,0.7070351839065552,0.2929648160934448,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0832289308309555,8
3,00:09:22,16860.0,1,6,LEE Cheuk Yiu,2,長球,0,0,1.0,4,858.0,620.0,1.0,4,828.0,320.0,,,NG Ka Long Angus,,10,0.6941382376583959,1.551445051848593,9,-0.014204254136428,-0.9248984099068362,0,1,60,3124,0.5,1,True,0,5.0,1,0.5473044514656067,0.2269772589206695,0.2257182747125625,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1165764108300209,8
4,00:09:22,16889.0,1,6,NG Ka Long Angus,2,長球,0,1,1.0,5,828.0,320.0,1.0,9,537.0,623.0,,,NG Ka Long Angus,,7,1.2149898135639368,-1.1959683099337577,9,0.6183247179301407,1.146557236868718,0,1,60,3124,0.5,0,True,0,5.0,1,0.5050168633460999,0.2094397991895675,0.1608069241046905,0.124736413359642,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1231318488717079,8
5,00:09:24,16924.0,1,6,LEE Cheuk Yiu,3,殺球,0,0,1.0,10,537.0,623.0,2.0,7,690.0,449.0,掛網,對手掛網,NG Ka Long Angus,,9,-0.2485535610178028,1.420296101314981,9,0.085841270464959,-1.095367828632802,0,1,60,3124,1.0,1,True,0,5.0,1,0.4154827296733856,0.1723083555698394,0.1322975605726242,0.1055311188101768,0.1743801832199096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2408103346824646,8
1,00:09:44,17546.0,2,6,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,7,719.0,487.0,,,NG Ka Long Angus,,9,-0.1183724051031807,-0.8228641117914997,9,0.7691682082483512,1.1463314290520017,0,1,60,3125,0.0,0,True,0,4.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2048631906509399,9
2,00:09:45,17565.0,2,6,LEE Cheuk Yiu,2,挑球,0,0,2.0,8,719.0,487.0,1.0,3,487.0,317.0,,,NG Ka Long Angus,,9,0.2866516694099321,0.6724488750073174,9,-0.0814162565741829,-0.8482122979225867,0,1,60,3125,0.0434782608695652,1,True,0,4.0,-1,0.4958715140819549,0.5041285157203674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.3399015963077545,9
3,00:09:46,17603.0,2,6,NG Ka Long Angus,2,切球,0,0,1.0,4,487.0,317.0,2.0,6,439.0,536.0,,,NG Ka Long Angus,,4,-0.9235573956172556,-1.5648610094580684,9,0.0816030262805084,1.0384059528260785,0,1,60,3125,0.0869565217391304,0,True,0,4.0,-1,0.3618068695068359,0.3563721477985382,0.2818209826946258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5078437328338623,9
4,00:09:47,17622.0,2,6,LEE Cheuk Yiu,2,網前球,0,1,2.0,7,439.0,536.0,2.0,7,591.0,399.0,,,NG Ka Long Angus,,9,-0.8163073923290509,0.9842661901761752,10,-0.4950567069555078,-1.465773854775405,0,1,60,3125,0.1304347826086956,1,True,0,4.0,-1,0.253318578004837,0.2495134770870208,0.2071805149316787,0.2899873852729797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5447036027908325,9
5,00:09:48,17651.0,2,6,NG Ka Long Angus,2,網前球,0,0,2.0,8,591.0,399.0,2.0,7,661.0,460.0,,,NG Ka Long Angus,,8,-0.0662436854521772,-0.3590077812502483,9,-0.0290184662419332,0.7934379724856738,0,1,60,3125,0.1739130434782608,0,True,0,4.0,-1,0.2004468590021133,0.1974359303712844,0.1639385372400283,0.2244247645139694,0.2137538790702819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5998104214668274,9
6,00:09:49,17676.0,2,6,LEE Cheuk Yiu,2,挑球,0,0,2.0,8,661.0,460.0,1.0,3,469.0,315.0,,,NG Ka Long Angus,,8,-0.0146615574622112,0.4205429694598166,9,0.0986888693441245,-0.5442612885452807,0,1,60,3125,0.217391304347826,1,True,0,4.0,-1,0.1627378314733505,0.1602933406829834,0.1330976337194442,0.1822049021720886,0.1753372251987457,0.186329036951065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5973817706108093,9
7,00:09:51,17732.0,2,6,NG Ka Long Angus,2,殺球,0,0,1.0,4,469.0,315.0,2.0,6,422.0,564.0,,,NG Ka Long Angus,,4,-0.9871191239357868,-1.4771222850644703,9,0.0109924408659976,1.046418555659334,0,1,60,3125,0.3043478260869565,0,True,0,4.0,-1,0.1430853754281997,0.1409360915422439,0.1170245707035064,0.1602015793323516,0.1541632413864135,0.160077154636383,0.1245119422674179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.6477416753768921,9
8,00:09:51,17745.0,2,6,LEE Cheuk Yiu,2,接殺防守,0,1,2.0,7,422.0,564.0,2.0,7,521.0,407.0,,,NG Ka Long Angus,,9,0.0229176675934662,1.030594651285331,4,-1.1767088819140108,-1.4043740607852682,0,1,60,3125,0.3043478260869565,1,True,0,4.0,-1,0.1220623329281807,0.1202288195490837,0.0998305454850196,0.1366637051105499,0.1315125674009323,0.1365575641393661,0.1078338772058487,0.1453106105327606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5388816595077515,9
9,00:09:52,17773.0,2,6,NG Ka Long Angus,2,網前球,0,0,2.0,8,521.0,407.0,2.0,2,477.0,482.0,,,NG Ka Long Angus,,8,-0.5637441657309644,-0.3456499819885605,9,-0.1911202075135231,0.9020182783359006,0,1,60,3125,0.3478260869565217,0,True,0,4.0,-1,0.1040924713015556,0.1025288850069046,0.0851336270570755,0.1165442392230033,0.112151451408863,0.1164537295699119,0.0919587090611457,0.1218583956360817,0.1492785066366195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5156265497207642,9
10,00:09:53,17796.0,2,6,LEE Cheuk Yiu,2,挑球,0,1,2.0,3,477.0,482.0,1.0,9,748.0,323.0,,,NG Ka Long Angus,,3,-0.9162268398777672,0.6226226763653919,9,-0.1471373135894149,-0.7357553604923938,0,1,60,3125,0.391304347826087,1,True,0,4.0,-1,0.0747097060084343,0.0735874772071838,0.0611024759709835,0.0836466401815414,0.0804938301444053,0.0835816860198974,0.0660010054707527,0.0874607414007186,0.1121942773461341,0.2772221863269806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.3567590117454529,9
11,00:09:54,17825.0,2,6,NG Ka Long Angus,2,切球,1,0,1.0,10,748.0,323.0,2.0,7,784.0,494.0,,,NG Ka Long Angus,,9,0.0798206429371899,-1.203099499427066,9,0.1626796422913223,1.0775713304207155,0,1,60,3125,0.4347826086956521,0,True,0,4.0,-1,0.0548334382474422,0.0540097765624523,0.0448463670909404,0.0613927319645881,0.059078712016344,0.0613450482487678,0.0484416596591472,0.0641921013593673,0.0823453515768051,0.2177211791276931,0.2517935931682586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.3027991056442261,9
12,00:09:54,17849.0,2,6,LEE Cheuk Yiu,2,挑球,0,0,2.0,8,784.0,494.0,1.0,4,792.0,321.0,,,NG Ka Long Angus,,9,0.7778403624142035,0.7060975370890171,9,0.3011395851844683,-1.1366966106546543,0,1,60,3125,0.4347826086956521,1,True,0,4.0,-1,0.042230486869812,0.041596133261919,0.0345388539135456,0.047282189130783,0.0455000326037406,0.0472454689443111,0.0373077951371669,0.049438152462244,0.0634190589189529,0.1676800101995468,0.1930560022592544,0.2307057827711105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2406575381755828,9
13,00:09:55,17875.0,2,6,NG Ka Long Angus,2,長球,1,0,1.0,5,792.0,321.0,1.0,3,851.0,637.0,,,NG Ka Long Angus,,9,0.708952609487846,-1.0589943024517667,9,0.7256940125764475,1.0135007359025436,0,1,60,3125,0.4782608695652174,0,True,0,4.0,-1,0.0366254746913909,0.0360753238201141,0.029954707249999,0.0410066954791545,0.0394610688090324,0.0409748516976833,0.0323561504483222,0.0428765080869197,0.0550018139183521,0.1454248130321502,0.1674327850341797,0.2126609086990356,0.1201488897204399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2257923781871795,9
14,00:09:57,17920.0,2,6,LEE Cheuk Yiu,2,長球,0,0,1.0,4,851.0,637.0,1.0,5,497.0,327.0,,,NG Ka Long Angus,,10,0.859361627825654,1.6980315809884587,9,0.0638417636530132,-1.1623055933115671,0,1,60,3125,0.5652173913043478,1,True,0,4.0,-1,0.0339847058057785,0.0334742218255996,0.0277949143201112,0.0380500331521034,0.0366158485412597,0.038020484149456,0.0300232078880071,0.0397850275039672,0.0510360710322856,0.1349393874406814,0.1553605496883392,0.1973276436328888,0.1113825812935829,0.0722053423523902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2537694573402405,9
15,00:09:58,17962.0,2,6,NG Ka Long Angus,2,切球,0,0,1.0,6,497.0,327.0,2.0,5,843.0,514.0,,,NG Ka Long Angus,,4,-0.9791999951838272,-1.477171658592562,9,0.0166075225885224,1.0699844041255364,0,1,60,3125,0.6086956521739131,0,True,0,4.0,-1,0.0323727130889892,0.0318864397704601,0.0264765191823244,0.0362452082335948,0.0348790511488914,0.0362170599400997,0.0285991188138723,0.0378979071974754,0.0486152805387973,0.1285388171672821,0.147991344332695,0.1879678070545196,0.1060993745923042,0.0668274089694023,0.0493859387934207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2808611392974853,9
16,00:09:59,17987.0,2,6,LEE Cheuk Yiu,2,挑球,0,0,2.0,6,843.0,514.0,1.0,6,815.0,327.0,,,NG Ka Long Angus,,9,0.826142042540146,0.7146384448058184,9,-0.1911608498039821,-1.2701451985567571,0,1,60,3125,0.6521739130434783,1,True,0,4.0,-1,0.0303494427353143,0.0298935640603303,0.0248217582702636,0.0339799113571643,0.0326991379261016,0.0339535251259803,0.026811696588993,0.0355293191969394,0.0455768667161464,0.1205052435398101,0.1387420147657394,0.1762199699878692,0.0994682535529136,0.0626507550477981,0.0470617301762104,0.0617368184030056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2622263133525848,9
17,00:10:00,18014.0,2,6,NG Ka Long Angus,2,切球,1,0,1.0,7,815.0,327.0,2.0,1,873.0,498.0,,,NG Ka Long Angus,,9,0.6991344145977241,-1.2203095990567765,9,0.5187389985602654,0.9414837532310384,0,1,60,3125,0.6956521739130435,0,True,0,4.0,-1,0.0282051544636487,0.0277814846485853,0.0230680201202631,0.0315791182219982,0.0303888358175754,0.0315545946359634,0.0249173622578382,0.0330190546810627,0.0423567108809948,0.1119911521673202,0.1289394199848175,0.1637694537639618,0.0924404934048652,0.0582242682576179,0.0437366627156734,0.0609475970268249,0.0670806616544723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2427082508802414,9
18,00:10:01,18039.0,2,6,LEE Cheuk Yiu,2,挑球,0,0,2.0,2,873.0,498.0,1.0,6,781.0,332.0,,,NG Ka Long Angus,,6,1.3019922015420324,0.8075021318131252,9,0.5739134245955992,-1.3163223853527342,0,1,60,3125,0.7391304347826086,1,True,0,4.0,-1,0.0258423965424299,0.0254542175680398,0.0211356021463871,0.028933722525835,0.0278431493788957,0.0289112534373998,0.0228300243616104,0.0302530340850353,0.0388084687292575,0.1026096045970916,0.1181381121277809,0.1500504165887832,0.0846967101097107,0.0533467978239059,0.0400728248059749,0.0558419898152351,0.0615544915199279,0.0836771801114082,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2362414598464965,9
19,00:10:02,18073.0,2,6,NG Ka Long Angus,2,切球,1,0,1.0,7,781.0,332.0,2.0,1,847.0,468.0,,,NG Ka Long Angus,,9,0.85545971749245,-1.2349145091619231,9,0.5786521685762042,1.0057846734699136,0,1,60,3125,0.782608695652174,0,True,0,4.0,-1,0.024015799164772,0.0236550569534301,0.0196416899561882,0.0268886219710111,0.0258751343935728,0.0268677417188882,0.0212163478136062,0.0281146839261055,0.036065399646759,0.0953569337725639,0.1097878515720367,0.1394445151090622,0.0787101611495018,0.0495761260390281,0.0372403860092163,0.0518949553370475,0.057203684002161,0.0807362422347068,0.0677086934447288,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.2527138590812683,9
20,00:10:03,18106.0,2,6,LEE Cheuk Yiu,2,網前球,0,0,2.0,2,847.0,468.0,2.0,2,820.0,433.0,,,NG Ka Long Angus,,2,1.2191254108379783,0.500293193233496,9,0.5211328670699581,-1.0977772869881086,0,1,60,3125,0.8260869565217391,1,True,0,4.0,-1,0.0224447958171367,0.0221076533198356,0.0183568224310874,0.0251296926289796,0.0241825021803379,0.0251101776957511,0.0198284722864627,0.0262755509465932,0.0337061695754528,0.0891191214323043,0.1026060357689857,0.1303226947784423,0.0735613033175468,0.046333085745573,0.0348042920231819,0.0485002286732196,0.0534616820514202,0.0754548460245132,0.0628008693456649,0.0658940225839614,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.3056269288063049,9
21,00:10:04,18134.0,2,6,NG Ka Long Angus,2,挑球,0,1,2.0,3,820.0,433.0,1.0,9,558.0,643.0,,,NG Ka Long Angus,,3,1.0370617679260703,-0.3523576997927365,9,0.6014353992073183,0.7495424354011574,0,1,60,3125,0.8695652173913043,0,True,0,4.0,-1,0.0215688869357109,0.0212449003010988,0.0176404453814029,0.0241490062326192,0.0232387799769639,0.0241302531212568,0.019054664298892,0.0252501461654901,0.0323907844722271,0.0856412425637245,0.0986018329858779,0.1252368539571762,0.0706905722618103,0.0445249341428279,0.033446054905653,0.0466075055301189,0.0513753369450569,0.0725102201104164,0.0603500679135322,0.0504389107227325,0.0519085936248302,0.0,0.0,0.0,,,,,,,,,,,,0.3155313730239868,9
22,00:10:06,18198.0,2,6,LEE Cheuk Yiu,2,殺球,0,0,1.0,10,558.0,643.0,2.0,8,629.0,359.0,,,NG Ka Long Angus,,10,-0.4238179802019251,1.6659817988255483,9,-0.2317660926334077,-0.9494858215917332,0,1,60,3125,0.9565217391304348,1,True,0,4.0,-1,0.0193710401654243,0.0190800689160823,0.0158429034054279,0.0216882489621639,0.0208707731217145,0.0216714050620794,0.0171130150556564,0.0226771831512451,0.0290901977568864,0.0769144892692565,0.0885544121265411,0.1124753504991531,0.0634872764348983,0.0399878919124603,0.0300379376858472,0.0418582484126091,0.0461402460932731,0.0651215091347694,0.0542004592716693,0.0452992394566535,0.0473081730306148,0.1012099310755729,0.0,0.0,,,,,,,,,,,,0.2903253436088562,9
23,00:10:07,18210.0,2,6,NG Ka Long Angus,2,接殺防守,0,1,2.0,9,629.0,359.0,2.0,6,468.0,514.0,,,NG Ka Long Angus,,9,-0.3043861995410015,-0.8597054839005001,10,-0.3960858058666363,1.5793868089915957,0,1,60,3125,1.0,0,True,0,4.0,-1,0.0177168566733598,0.0174507312476634,0.0144900036975741,0.0198361855000257,0.0190885197371244,0.0198207832872867,0.0156516544520854,0.0207406710833311,0.026606049388647,0.070346400141716,0.0809923335909843,0.1028705537319183,0.0580658018589019,0.0365731380879879,0.0274728555232286,0.0382837764918804,0.0422001108527183,0.0595604740083217,0.0495720244944095,0.0414309240877628,0.0432683043181896,0.0755213946104049,0.1024404540657997,0.0,,,,,,,,,,,,0.2714854180812835,9
24,00:10:07,18238.0,2,6,LEE Cheuk Yiu,3,挑球,0,1,2.0,7,468.0,514.0,2.0,10,429.0,310.0,出界,對手出界,NG Ka Long Angus,,9,-0.6896156077165978,0.7352800701978239,9,-0.2183156617978378,-1.0407514983953583,0,1,60,3125,1.0,1,True,0,4.0,-1,0.0145650608465075,0.0143462745472788,0.0119122574105858,0.0163073670119047,0.0156927052885293,0.0162947010248899,0.0128672532737255,0.0170509424060583,0.0218728780746459,0.0578318983316421,0.0665839463472366,0.0845700651407241,0.0477360002696514,0.030066842213273,0.0225854851305484,0.031473159790039,0.0346927866339683,0.0489647760987281,0.040753249078989,0.0340604372322559,0.0355709493160247,0.0620862655341625,0.0877604708075523,0.1743542104959488,,,,,,,,,,,,0.2898227870464325,9
1,00:10:58,19747.0,4,6,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,1,851.0,502.0,,,NG Ka Long Angus,,9,-0.0083328083934932,-0.6511105852113411,9,0.7742728549563689,1.0530235367824077,0,1,60,3127,0.0,0,True,0,2.0,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2798274457454681,11
2,00:10:59,19771.0,4,6,LEE Cheuk Yiu,2,網前球,0,0,2.0,2,851.0,502.0,2.0,2,819.0,419.0,,,NG Ka Long Angus,,8,0.8271632138722687,0.6536532261840969,9,0.2141677595085304,-0.7995068811675189,0,1,60,3127,0.125,1,True,0,2.0,-2,0.5095407962799072,0.4904592335224151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4297753572463989,11
3,00:10:59,19798.0,4,6,NG Ka Long Angus,2,挑球,0,1,2.0,3,819.0,419.0,1.0,3,869.0,641.0,,,NG Ka Long Angus,,8,0.8818050241954899,-0.4775848042178004,9,0.4439421637326627,0.72413280494369,0,1,60,3127,0.125,0,True,0,2.0,-2,0.4237461388111114,0.316324234008789,0.2599295675754547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5222947597503662,11
4,00:11:01,19835.0,4,6,LEE Cheuk Yiu,2,殺球,0,0,1.0,4,869.0,641.0,2.0,8,652.0,346.0,,,NG Ka Long Angus,,10,0.7089654732406873,1.5650403753366853,9,0.173070269649064,-0.9258777179017844,0,1,60,3127,0.375,1,True,0,2.0,-2,0.2949874401092529,0.2202065736055374,0.1807595789432525,0.3040463924407959,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6423653364181519,11
5,00:11:01,19845.0,4,6,NG Ka Long Angus,2,接殺防守,0,1,2.0,9,652.0,346.0,2.0,7,541.0,496.0,,,NG Ka Long Angus,,9,-0.0288233766320189,-1.0286387951590077,4,1.026497474943911,1.658568118688466,0,1,60,3127,0.375,0,True,0,2.0,-2,0.2499748170375824,0.1866048872470855,0.1531771868467331,0.2119378745555877,0.1983051896095276,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6723551154136658,11
6,00:11:02,19883.0,4,6,LEE Cheuk Yiu,2,挑球,0,1,2.0,8,541.0,496.0,1.0,9,687.0,318.0,,,NG Ka Long Angus,,8,-0.4402286132079167,0.5859127049865993,9,-0.2581567831867575,-0.784689541948031,0,1,60,3127,0.5,1,True,0,2.0,-2,0.187309443950653,0.1398255079984665,0.1147776842117309,0.1588078588247299,0.164758950471878,0.2345206141471862,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6301214694976807,11
