ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,win_prob,rally
10,00:00:33,994.0,1,0,TAI Tzu Ying,2,接殺防守,0,1,2.0,3,391.0,590.0,2.0,5,472.0,477.0,,,TAI Tzu Ying,,9,0.0628082221018107,1.0409122735445315,5,1.0188042669376327,-1.5669429583963286,0,1,26,292,0.75,0,True,0,1.0,1,0.0547713823616504,0.0318125411868095,0.0225215386599302,0.3069044649600982,0.3972502648830414,0.0534599162638187,0.0163268223404884,0.0193553064018487,0.0054619722068309,0.0921357199549675,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0979847386479377,2
11,00:00:34,1025.0,1,0,CHEN Yufei,2,推撲球,0,0,2.0,6,472.0,477.0,1.0,5,777.0,679.0,,,TAI Tzu Ying,,9,-0.7721263745359007,-0.8346402578567576,9,-0.8233613407891228,0.7877498031446564,0,1,26,292,0.8333333333333334,1,True,0,1.0,1,0.0577337779104709,0.0335331708192825,0.0237396508455276,0.3235038518905639,0.4187361299991607,0.0563513748347759,0.0172098837792873,0.020402168855071,0.0057573914527893,0.0073457681573927,0.0356867834925651,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0669566914439201,2
12,00:00:35,1063.0,1,0,TAI Tzu Ying,2,切球,0,0,1.0,6,777.0,679.0,2.0,8,734.0,489.0,,,TAI Tzu Ying,,10,0.6318021682339757,1.5267389686198751,9,0.0267745461376671,-0.896701018569137,0,1,26,292,0.9166666666666666,0,True,0,1.0,1,0.0279265101999044,0.0162203907966613,0.0114831496030092,0.1564826369285583,0.2025476247072219,0.0272578280419111,0.0083246240392327,0.0098687708377838,0.0027849182952195,0.0035532349720597,0.0137694282457232,0.5197809338569641,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5277150273323059,2
13,00:00:36,1089.0,1,0,CHEN Yufei,3,網前球,0,1,2.0,9,734.0,489.0,2.0,1,465.0,525.0,掛網,對手掛網,TAI Tzu Ying,,9,0.4405482205643027,-0.6609062431972376,9,0.3273536403625505,0.9444652997283416,0,1,26,292,1.0,1,True,0,1.0,1,0.041989654302597,0.0243886038661003,0.0172657985240221,0.2352836728096008,0.304545909166336,0.0409842357039451,0.0125167118385434,0.0148384543135762,0.0041873385198414,0.005342561751604,0.0207033939659595,0.250098705291748,0.0278549697250127,,,,,,,,,,,,,,,,,,,,,,,,,0.2344102412462234,2
1,00:00:49,1476.0,1,1,TAI Tzu Ying,1,發長球,0,1,2.0,8,,,1.0,9,684.0,432.0,,,TAI Tzu Ying,,9,-0.061801533213803,0.7615836189704973,9,0.63064571292815,-1.0837686517124394,0,1,26,293,0.0,0,True,0,0.0,-1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7619727253913879,3
2,00:00:50,1509.0,1,1,CHEN Yufei,2,長球,0,0,1.0,10,684.0,432.0,1.0,6,410.0,667.0,,,TAI Tzu Ying,,9,0.4377800208226775,-1.3610053661952872,9,0.2390697991946763,0.926097884483091,0,1,26,293,0.5,1,True,0,0.0,-1,0.5112162232398987,0.4887838363647461,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1994795501232147,3
3,00:00:51,1547.0,1,1,TAI Tzu Ying,3,長球,1,0,1.0,7,410.0,667.0,2.0,4,768.0,422.0,對手落地致勝,落地致勝,TAI Tzu Ying,,9,-0.6928471430623188,1.2025397716109534,9,-0.3157287044504028,-1.0510610753617575,0,1,26,293,1.0,0,True,0,0.0,-1,0.1154529154300689,0.0588570646941661,0.8256900310516357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563366115093231,3
1,00:01:13,2214.0,1,2,TAI Tzu Ying,1,發短球,0,1,2.0,8,,,2.0,8,513.0,489.0,,,TAI Tzu Ying,,9,0.2175966353000456,0.8290456231803583,9,-0.611943604402756,-1.1303175652982091,0,1,26,294,0.0,0,True,0,-1.0,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7823958396911621,4
2,00:01:14,2238.0,1,2,CHEN Yufei,2,網前球,0,0,2.0,9,513.0,489.0,2.0,7,588.0,552.0,,,TAI Tzu Ying,,9,-0.7074479001329248,-0.6868216798441521,9,0.1075815665907294,0.7400726998839122,0,1,26,294,0.0357142857142857,1,True,0,-1.0,-2,0.5808076858520508,0.4191923439502716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.191140204668045,4
3,00:01:15,2262.0,1,2,TAI Tzu Ying,2,挑球,0,0,2.0,8,588.0,552.0,1.0,3,530.0,424.0,,,TAI Tzu Ying,,8,-0.2936868008132797,0.3593382628203792,9,-0.3504122682106414,-0.6877420036044004,0,1,26,294,0.0714285714285714,0,True,0,-1.0,-2,0.048829611390829,0.039161417633295,0.9120089411735536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.2370587289333343,4
4,00:01:16,2305.0,1,2,CHEN Yufei,2,殺球,0,0,1.0,4,530.0,424.0,2.0,6,357.0,604.0,,,TAI Tzu Ying,,10,-0.5628521821283372,-1.480610647352994,9,-0.0077476035353762,0.811104762063632,0,1,26,294,0.1071428571428571,1,True,0,-1.0,-2,0.0861838832497596,0.0691195949912071,0.3850621283054352,0.4596344530582428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1754237562417984,4
5,00:01:17,2325.0,1,2,TAI Tzu Ying,2,接殺防守,0,1,2.0,7,357.0,604.0,1.0,3,460.0,424.0,,,TAI Tzu Ying,,7,-0.9876733813155648,0.8190605230605043,10,-0.4203696104138825,-1.411825469551142,0,1,26,294,0.1428571428571428,0,True,0,-1.0,-2,0.0362178906798362,0.0290467962622642,0.1618184000253677,0.3540443778038025,0.4188724756240845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.8883427977561951,4
6,00:01:18,2349.0,1,2,CHEN Yufei,2,切球,0,0,1.0,4,460.0,424.0,2.0,2,396.0,561.0,,,TAI Tzu Ying,,9,-0.669498394385566,-1.2441437296469935,9,-0.4791168436116857,0.8149316855922889,0,1,26,294,0.1785714285714285,1,True,0,-1.0,-2,0.0503635480999946,0.0403916351497173,0.2250199764966964,0.4923238754272461,0.1419643610715866,0.0499365553259849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.4319908916950226,4
7,00:01:19,2379.0,1,2,TAI Tzu Ying,2,挑球,0,1,2.0,3,396.0,561.0,1.0,4,782.0,424.0,,,TAI Tzu Ying,,7,-1.1621640955913,0.6678595941996358,9,-0.4843361890688479,-1.1304379822714168,0,1,26,294,0.2142857142857142,0,True,0,-1.0,-2,0.0430533625185489,0.0345288552343845,0.1923587024211883,0.4208638668060303,0.1213584616780281,0.1235779672861099,0.0642588064074516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.5957695245742798,4
8,00:01:20,2418.0,1,2,CHEN Yufei,2,長球,1,0,1.0,5,782.0,424.0,1.0,3,804.0,696.0,,,TAI Tzu Ying,,10,0.4312899580512105,-1.4802649269899897,9,-0.0717546397858225,0.6905339328261029,0,1,26,294,0.25,1,True,0,-1.0,-2,0.0450597032904624,0.0361379422247409,0.201322853565216,0.4404766261577606,0.1270139068365097,0.1293368488550186,0.0104339038953185,0.0102182077243924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.5126277208328247,4
9,00:01:21,2453.0,1,2,TAI Tzu Ying,2,切球,0,0,1.0,4,804.0,696.0,2.0,5,492.0,482.0,,,TAI Tzu Ying,,9,0.8839211697495644,1.4918828765078402,9,0.2464862337737025,-1.163268625275398,0,1,26,294,0.2857142857142857,0,True,0,-1.0,-2,0.0430842377245426,0.0345536172389984,0.1924966424703598,0.4211656749248504,0.1214454919099807,0.1236665919423103,0.0099764708429574,0.0051381071098148,0.048473123461008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.550366997718811,4
10,00:01:22,2479.0,1,2,CHEN Yufei,2,挑球,0,0,2.0,6,492.0,482.0,1.0,5,801.0,679.0,,,TAI Tzu Ying,,9,-0.6493875181132095,-0.7603059388810584,9,0.3671426833651646,1.27133536505678,0,1,26,294,0.3214285714285714,1,True,0,-1.0,-2,0.0438926927745342,0.0352020002901554,0.1961087584495544,0.4290686547756195,0.1237243562936782,0.1259871423244476,0.0101636741310358,0.0052345213480293,0.006511001382023,0.0241071283817291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.4350327849388122,4
11,00:01:23,2514.0,1,2,TAI Tzu Ying,2,平球,0,0,1.0,6,801.0,679.0,1.0,6,804.0,463.0,,,TAI Tzu Ying,,9,0.5909900353614526,1.4543385968211446,9,-0.1337953313884537,-1.0198801201511265,0,1,26,294,0.3571428571428571,0,True,0,-1.0,-2,0.0370537191629409,0.0297171343117952,0.1655528247356414,0.3622149527072906,0.1044467166066169,0.1063569337129592,0.0085800597444176,0.0044189244508743,0.0054965144954621,0.0120417596772313,0.1641204208135604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7275433540344238,4
12,00:01:24,2529.0,1,2,CHEN Yufei,2,切球,0,1,1.0,7,804.0,463.0,2.0,1,808.0,580.0,,,TAI Tzu Ying,,9,0.1884407681824185,-1.0516848236664176,9,0.3297248311478042,1.3992252533907283,0,1,26,294,0.3928571428571428,1,True,0,-1.0,-2,0.0359512791037559,0.0288329739123582,0.1606272011995315,0.3514381647109985,0.1013391688466072,0.1031925454735755,0.0083247814327478,0.0042874501086771,0.0053329793736338,0.0116834873333573,0.1159037202596664,0.0730863139033317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.6607301235198975,4
13,00:01:25,2554.0,1,2,TAI Tzu Ying,2,挑球,0,0,2.0,2,808.0,580.0,1.0,3,480.0,432.0,,,TAI Tzu Ying,,8,0.9059327451106612,0.652230455883189,9,0.6587506924005914,-1.1315166583187326,0,1,26,294,0.4285714285714285,0,True,0,-1.0,-2,0.0238231290131807,0.0191061832010746,0.1064396873116493,0.232880637049675,0.0671524405479431,0.0683805793523788,0.0055164201185107,0.0028410805389285,0.0035339009482413,0.0077420673333108,0.0768036395311355,0.0459927730262279,0.3397874534130096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.706171452999115,4
14,00:01:26,2590.0,1,2,CHEN Yufei,2,平球,0,0,1.0,4,480.0,432.0,1.0,6,357.0,655.0,,,TAI Tzu Ying,,10,-0.7686934714971791,-1.411858276879989,9,0.0476699373070675,0.8304376363322342,0,1,26,294,0.4642857142857143,1,True,0,-1.0,-2,0.0305938757956028,0.0245363302528858,0.1366907954216003,0.2990674078464508,0.0862377658486366,0.0878149569034576,0.0070842360146343,0.003648541169241,0.0045382673852145,0.0099424328655004,0.0986319333314895,0.0590643361210823,0.0409871824085712,0.1111619099974632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.4210051298141479,4
15,00:01:27,2623.0,1,2,TAI Tzu Ying,2,長球,1,0,1.0,7,357.0,655.0,1.0,3,499.0,427.0,,,TAI Tzu Ying,,9,-0.8067345324495101,1.2390788288135095,9,-0.4289738672165538,-1.2114726353620158,0,1,26,294,0.5,0,True,0,-1.0,-2,0.0246195886284112,0.0197449456900358,0.1099981963634491,0.2406663447618484,0.0693974867463111,0.0706666931509971,0.0057008462026715,0.0029360642656683,0.0036520469002425,0.0080009019002318,0.0793713629245758,0.0475304126739501,0.0329833179712295,0.0384187996387481,0.2463129758834839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1583810895681381,4
16,00:01:29,2677.0,1,2,CHEN Yufei,2,切球,0,0,1.0,4,499.0,427.0,2.0,2,381.0,568.0,,,TAI Tzu Ying,,4,-1.081320311282188,-1.5683500085242628,9,-0.1518970503948588,1.0890175072274917,0,1,26,294,0.5714285714285714,1,True,0,-1.0,-2,0.0168489553034305,0.0135128861293196,0.0752796754240989,0.164705291390419,0.0474936962127685,0.0483622997999191,0.0039014993235468,0.0020093598868697,0.0024993582628667,0.0054755927994847,0.0543195307254791,0.0325284786522388,0.0225728563964366,0.0262927468866109,0.0251748301088809,0.4590229094028473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1345402598381042,4
17,00:01:30,2701.0,1,2,TAI Tzu Ying,2,網前球,0,1,2.0,3,381.0,568.0,2.0,2,801.0,496.0,,,TAI Tzu Ying,,7,-1.087125288176217,0.7188652304767368,9,-0.6024004223666098,-1.1625684731316814,0,1,26,294,0.6071428571428571,0,True,0,-1.0,-2,0.0066821221262216,0.005359070841223,0.0298551432788372,0.0653204172849655,0.0188355091959238,0.0191799886524677,0.0015472943196073,0.0007968913996592,0.0009912197710946,0.0021715636830776,0.0215425658971071,0.012900460511446,0.0089521622285246,0.0104274321347475,0.0099840778857469,0.6428420543670654,0.1426119655370712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1203062534332275,4
18,00:01:31,2730.0,1,2,CHEN Yufei,2,挑球,0,1,2.0,3,801.0,496.0,1.0,8,489.0,676.0,,,TAI Tzu Ying,,9,0.8427153555861904,-0.6619858771682102,9,-0.1851058692778899,0.8813687655698637,0,1,26,294,0.6428571428571429,1,True,0,-1.0,-2,0.0073855617083609,0.0059232302010059,0.0329980477690696,0.072196826338768,0.0208183582872152,0.0211991034448146,0.0017101808916777,0.0008807816775515,0.0010955673642456,0.0024001682177186,0.0238103922456502,0.0142585160210728,0.0098945731297135,0.0115251475945115,0.0110351210460066,0.7105152606964111,0.0467740818858146,0.0055790841579437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1167558804154396,4
19,00:01:32,2771.0,1,2,TAI Tzu Ying,2,長球,1,0,1.0,9,489.0,676.0,1.0,4,801.0,427.0,,,TAI Tzu Ying,,9,-0.0559191691800352,1.2754952364109131,9,-0.1562651487569117,-1.0828870082361204,0,1,26,294,0.6785714285714286,0,True,0,-1.0,-2,0.00725789507851,0.0058208419941365,0.0324276462197303,0.0709488317370414,0.0204584952443838,0.0208326559513807,0.0016806188505142,0.000865556532517,0.0010766295017674,0.0023586789611727,0.023398807272315,0.0140120442956686,0.0097235366702079,0.0113259246572852,0.0108443684875965,0.6982333064079285,0.0459655486047267,0.0030865678563714,0.0196819845587015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.117452323436737,4
20,00:01:33,2813.0,1,2,CHEN Yufei,2,殺球,1,0,1.0,5,801.0,427.0,2.0,5,816.0,616.0,,,TAI Tzu Ying,,10,0.8949689127292952,-1.4457780507154592,9,0.1688765055456677,1.1225452678443186,0,1,26,294,0.7142857142857143,1,True,0,-1.0,-2,0.0073877377435564,0.005924975965172,0.0330077745020389,0.0722180977463722,0.0208244938403368,0.021205348894,0.0017106848536059,0.0008810412255115,0.001095890183933,0.002400875557214,0.0238174088299274,0.0142627181485295,0.0098974891006946,0.0115285431966185,0.0110383722931146,0.7107245922088623,0.0467878654599189,0.0031417862046509,0.0015611893031746,0.0005830923328176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1167459711432457,4
21,00:01:34,2834.0,1,2,TAI Tzu Ying,2,網前球,0,0,2.0,6,816.0,616.0,2.0,7,516.0,496.0,,,TAI Tzu Ying,,9,0.9077785391218366,1.0054364701831406,10,0.83348577039929,-1.4457916083663525,0,1,26,294,0.75,0,True,0,-1.0,-2,0.007376757916063,0.0059161698445677,0.0329587161540985,0.0721107646822929,0.0207935441285371,0.021173832938075,0.0017081423429772,0.0008797317859716,0.0010942614171653,0.0023973071947693,0.0237820111215114,0.0142415203154087,0.0098827788606286,0.0115114096552133,0.0110219670459628,0.7096683382987976,0.0467183254659175,0.0031371167860925,0.0015588689129799,0.0003635128377936,0.001704906928353,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1168394237756729,4
22,00:01:35,2863.0,1,2,CHEN Yufei,2,網前球,0,0,2.0,8,516.0,496.0,2.0,2,441.0,556.0,,,TAI Tzu Ying,,9,-0.5629260602475272,-0.7605054375969372,9,0.1765993887285139,0.8293814662650073,0,1,26,294,0.7857142857142857,1,True,0,-1.0,-2,0.0073790978640317,0.0059180464595556,0.0329691693186759,0.0721336379647255,0.0208001397550106,0.0211805496364831,0.001708684139885,0.000880010833498,0.0010946084512397,0.0023980676196515,0.0237895529717206,0.0142460372298955,0.0098859136924147,0.0115150604397058,0.0110254622995853,0.7098934054374695,0.0467331446707248,0.0031381116714328,0.001559363445267,0.0003636281471699,0.0003240921942051,0.0010641573462635,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1179225444793701,4
23,00:01:36,2889.0,1,2,TAI Tzu Ying,2,挑球,0,1,2.0,3,441.0,556.0,1.0,4,801.0,427.0,,,TAI Tzu Ying,,8,-0.8211860002266641,0.3627368286030291,9,-0.5540018620370907,-0.5866237230245567,0,1,26,294,0.8214285714285714,0,True,0,-1.0,-2,0.0071580717340111,0.0057407831773161,0.0319816432893276,0.0699730217456817,0.02017711289227,0.0205461289733648,0.0016575038898736,0.0008536518434993,0.0010618217056617,0.0023262382019311,0.0230769850313663,0.0138193257153034,0.0095898006111383,0.0111701497808098,0.0106952171772718,0.6886299848556519,0.0453333482146263,0.0030441158451139,0.0015126557555049,0.0003527363878674,0.0003143846697639,0.002093365881592,0.0288919620215892,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1191169619560241,4
24,00:01:38,2952.0,1,2,CHEN Yufei,2,長球,1,0,1.0,5,801.0,427.0,1.0,9,741.0,698.0,,,TAI Tzu Ying,,10,0.8943352899233523,-1.567026350634982,9,0.2125316977238227,0.7794540443113908,0,1,26,294,0.8928571428571429,1,True,0,-1.0,-2,0.0073417532257735,0.0058880960568785,0.0328023172914981,0.0717685744166374,0.0206948723644018,0.0210733581334352,0.0017000366933643,0.0008755571907386,0.0010890688281506,0.002385931322351,0.0236691571772098,0.0141739398241043,0.0098358821123838,0.0114567838609218,0.0109696639701724,0.7063007354736328,0.0464966334402561,0.0031222300603985,0.0015514716506004,0.0003617878828663,0.0003224520187359,0.0021470831707119,0.0028864701744168,0.0010860692709684,0.0,0.0,0.0,,,,,,,,,,,0.1145603135228157,4
