ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,win_prob,rally
11,00:03:02,4568.0,0,0,NG Ka Long Angus,2,推撲球,0,0,1.0,2,397.0,447.0,2.0,5,429.0,553.0,,,NG Ka Long Angus,,2,-0.9380511851133674,-0.2788673031515314,9,-0.8017720438727112,0.7304779498694826,0,1,44,1806,0.9,1,True,1,0.0,0,0.0603318363428115,0.0660839527845382,0.0801727101206779,0.0924984291195869,0.0988321527838707,0.0893862396478653,0.0772961229085922,0.0738176256418228,0.0796826481819152,0.1238661259412765,0.1580322086811065,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4208434522151947,1
12,00:03:03,4576.0,0,0,CHOU Tien Chen,3,接殺防守,0,1,2.0,6,429.0,553.0,2.0,5,323.0,630.0,未過網,對手未過網,NG Ka Long Angus,,9,-0.3882598550768801,1.0390842144324637,2,-1.2187938265181617,-0.1961617757090848,0,1,44,1806,1.0,0,True,1,0.0,0,0.051126878708601,0.0560013875365257,0.0679405927658081,0.0783857479691505,0.0837531313300132,0.075748398900032,0.0655028969049453,0.062555119395256,0.0675253048539161,0.1049676090478897,0.1264930963516235,0.1599998772144317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5224543213844299,1
1,00:03:33,5333.0,0,2,CHOU Tien Chen,1,挑球,0,1,2.0,8,,,1.0,9,789.0,350.0,,,NG Ka Long Angus,,8,0.5861138952082008,0.6025187298165106,9,-0.0536334229213626,-0.7883137293995798,0,1,44,1808,0.0,0,True,1,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4287011325359344,3
2,00:03:34,5358.0,0,2,NG Ka Long Angus,2,長球,1,0,1.0,10,789.0,350.0,1.0,4,917.0,648.0,,,NG Ka Long Angus,,9,0.5812044891731339,-1.280616125664476,9,0.4018936624448361,0.9492851573513176,0,1,44,1808,0.0526315789473684,1,True,1,2.0,1,0.4341119825839996,0.5658880472183228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408694177865982,3
3,00:03:35,5384.0,0,2,CHOU Tien Chen,2,長球,0,0,1.0,5,917.0,648.0,1.0,3,473.0,342.0,,,NG Ka Long Angus,,10,0.9452743665257864,1.56712282619831,9,0.2605174225705357,-1.1884314922087524,0,1,44,1808,0.1052631578947368,0,True,1,2.0,1,0.2687666118144989,0.3481271266937256,0.3831062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4431159794330597,3
4,00:03:36,5414.0,0,2,NG Ka Long Angus,2,切球,0,0,1.0,4,473.0,342.0,2.0,1,435.0,489.0,,,NG Ka Long Angus,,4,-1.015700485902866,-1.4616711305864352,9,0.1398336072612356,1.1630168273915509,0,1,44,1808,0.1578947368421052,1,True,1,2.0,1,0.1906401664018631,0.2469317466020584,0.27028489112854,0.2921432256698608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44111368060112,3
5,00:03:37,5434.0,0,2,CHOU Tien Chen,2,挑球,0,1,2.0,2,435.0,489.0,1.0,4,802.0,340.0,,,NG Ka Long Angus,,9,-0.6841755926085354,0.6681589997211361,9,-0.5635336651894315,-1.3531111436003986,0,1,44,1808,0.2105263157894736,0,True,1,2.0,1,0.1504432111978531,0.1948655843734741,0.2132946401834488,0.2223682403564453,0.2190282642841339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4831719994544983,3
6,00:03:38,5464.0,0,2,NG Ka Long Angus,2,切球,0,1,1.0,5,802.0,340.0,1.0,7,682.0,497.0,,,NG Ka Long Angus,,9,0.4915844669069987,-1.204364975823676,9,0.3710787763145327,1.0301667651476318,0,1,44,1808,0.2631578947368421,1,True,1,2.0,1,0.12967249751091,0.1679617613554,0.1838464438915252,0.191667303442955,0.1801132261753082,0.1467387527227401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4513385891914367,3
7,00:03:39,5480.0,0,2,CHOU Tien Chen,2,推撲球,0,0,1.0,8,682.0,497.0,1.0,8,496.0,373.0,,,NG Ka Long Angus,,8,0.1271425443740841,0.5199000873540823,9,0.5235748184217138,-1.2346807021820003,0,1,44,1808,0.3157894736842105,0,True,1,2.0,1,0.114083893597126,0.1477702111005783,0.1617453098297119,0.1686259806156158,0.1584608852863311,0.1282151490449905,0.1210985854268074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4361420273780823,3
8,00:03:39,5492.0,0,2,NG Ka Long Angus,2,接殺防守,0,0,1.0,9,496.0,373.0,2.0,5,400.0,544.0,,,NG Ka Long Angus,,9,-0.2588627217241926,-1.0105756269686077,9,0.0698521757411307,0.6758275238761922,0,1,44,1808,0.3157894736842105,1,True,1,2.0,1,0.0994556546211242,0.1288225799798965,0.1410057544708252,0.1470041573047638,0.1381424665451049,0.1117749512195587,0.1054566651582717,0.1283378005027771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4132699966430664,3
9,00:03:40,5511.0,0,2,CHOU Tien Chen,2,挑球,0,1,2.0,6,400.0,544.0,1.0,4,792.0,348.0,,,NG Ka Long Angus,,6,-0.9327098813935588,0.9182065729859972,9,-0.5381973146807003,-1.0238754792756046,0,1,44,1808,0.3684210526315789,0,True,1,2.0,1,0.084418311715126,0.1093450710177421,0.1196861788630485,0.124777652323246,0.1172558143734932,0.0948749706149101,0.0895119830965995,0.1048292592167854,0.1553007364273071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4483319222927093,3
10,00:03:41,5542.0,0,2,NG Ka Long Angus,2,長球,0,1,1.0,5,792.0,348.0,1.0,3,316.0,632.0,,,NG Ka Long Angus,,10,0.7816712586746536,-1.4058526874042083,9,0.3297290082009044,1.1704247298160295,0,1,44,1808,0.4210526315789473,1,True,1,2.0,1,0.0711115449666976,0.092109128832817,0.1008201837539672,0.1051091030240058,0.0987729132175445,0.0799199342727661,0.0754023194313049,0.0883051455020904,0.1242345571517944,0.1642151474952697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4290672242641449,3
11,00:03:43,5577.0,0,2,CHOU Tien Chen,2,切球,0,1,1.0,4,316.0,632.0,2.0,5,410.0,380.0,,,NG Ka Long Angus,,6,-0.957210200355954,1.4605999866102408,9,-0.2803739870307587,-1.23142446952547,0,1,44,1808,0.5263157894736842,0,True,1,2.0,1,0.0598976127803325,0.0775839835405349,0.0849213376641273,0.0885339230298996,0.0831969231367111,0.0673169642686843,0.0635117515921592,0.0743798688054084,0.1046433970332145,0.1321721524000167,0.1638420671224594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5322933793067932,3
12,00:03:43,5595.0,0,2,NG Ka Long Angus,2,挑球,0,0,2.0,6,410.0,380.0,1.0,4,900.0,634.0,,,NG Ka Long Angus,,6,-0.9073530692522348,-1.0368743468996413,9,-0.4582914864985141,1.1407271995871957,0,1,44,1808,0.5263157894736842,1,True,1,2.0,1,0.0527331195771694,0.0683039799332618,0.0747637003660202,0.077944166958332,0.0732455402612686,0.0592650212347507,0.0559149608016014,0.0654831230640411,0.0921267494559288,0.1163627281785011,0.1437799632549286,0.1200769692659378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5496886372566223,3
13,00:03:44,5622.0,0,2,CHOU Tien Chen,2,平球,0,0,1.0,5,900.0,634.0,1.0,6,813.0,381.0,,,NG Ka Long Angus,,9,0.7412306317690326,1.4177838826529374,9,0.043528024105719,-0.9547655226173776,0,1,44,1808,0.5789473684210527,0,True,1,2.0,1,0.0482430458068847,0.0624880939722061,0.0683977901935577,0.0713074505329132,0.0670088976621627,0.0542187765240669,0.0511539615690708,0.0599074214696884,0.0842824205756187,0.1064547821879386,0.131537526845932,0.1089260131120681,0.0860738307237625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5601146221160889,3
14,00:03:45,5638.0,0,2,NG Ka Long Angus,2,接殺防守,0,1,1.0,7,813.0,381.0,2.0,2,914.0,500.0,,,NG Ka Long Angus,,9,0.3387602118033661,-0.9842455014616012,9,0.4818622726618273,1.3401677180493572,0,1,44,1808,0.631578947368421,1,True,1,2.0,1,0.0455218218266963,0.0589633546769619,0.0645397007465362,0.0672852396965026,0.0632291585206985,0.0511604808270931,0.0482685416936874,0.0565282478928566,0.0795283392071724,0.1004500314593315,0.1241179332137107,0.1027818694710731,0.0769984498620033,0.0606269165873527,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5618841648101807,3
15,00:03:46,5661.0,0,2,CHOU Tien Chen,2,挑球,0,0,2.0,3,914.0,500.0,1.0,9,504.0,344.0,,,NG Ka Long Angus,,3,1.044208630328115,0.5833219344846334,9,0.5012630261701472,-0.9282725212488332,0,1,44,1808,0.6842105263157895,0,True,1,2.0,1,0.0433877184987068,0.0561990998685359,0.061514027416706,0.0641308426856994,0.06026491522789,0.0487620346248149,0.0460056699812412,0.053878154605627,0.0757999792695045,0.0957408472895622,0.1182991787791252,0.0979633629322052,0.0733886957168579,0.0574268959462642,0.0472385473549366,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5605924129486084,3
16,00:03:47,5694.0,0,2,NG Ka Long Angus,2,平球,0,0,1.0,10,504.0,344.0,2.0,5,329.0,552.0,,,NG Ka Long Angus,,10,-0.6651820306971944,-1.527659482430807,9,0.0747912142687706,0.941529756623194,0,1,44,1808,0.7368421052631579,1,True,1,2.0,1,0.041650004684925,0.0539482831954956,0.0590503402054309,0.061562355607748,0.0578512586653232,0.0468090772628784,0.0441631078720092,0.0517202913761138,0.0727641284465789,0.0919063463807106,0.1135612055659294,0.0940398499369621,0.0704494193196296,0.0551269017159938,0.0451933965086936,0.040204107761383,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5599516034126282,3
17,00:03:48,5711.0,0,2,CHOU Tien Chen,2,接殺防守,0,1,2.0,6,329.0,552.0,2.0,1,411.0,438.0,,,NG Ka Long Angus,,6,-1.070193441927259,0.9512911656486184,9,-0.4301225941324134,-1.2917906160396777,0,1,44,1808,0.7894736842105263,0,True,1,2.0,1,0.040418554097414,0.0523532107472419,0.0573044195771217,0.059742160141468,0.0561407878994941,0.0454250872135162,0.0428573489189147,0.0501910932362079,0.0706127360463142,0.0891889855265617,0.1102035790681839,0.0912594050168991,0.0683664605021476,0.0534969829022884,0.0438571758568286,0.0368907786905765,0.0316912196576595,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5599297285079956,3
18,00:03:49,5741.0,0,2,NG Ka Long Angus,2,挑球,0,0,2.0,2,411.0,438.0,1.0,4,896.0,652.0,,,NG Ka Long Angus,,2,-0.971748094626113,-0.3264244098504629,9,-0.5718650359777898,0.667966834367211,0,1,44,1808,0.8421052631578947,1,True,1,2.0,1,0.039517980068922,0.0511867180466651,0.0560276061296463,0.058411031961441,0.054889902472496,0.0444129593670368,0.0419024378061294,0.0490727759897708,0.0690393969416618,0.0872017443180084,0.1077481061220169,0.0892260372638702,0.0668431743979454,0.0523050054907798,0.0428799837827682,0.0360688045620918,0.0305504370480775,0.0227159764617681,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5576945543289185,3
19,00:03:51,5784.0,0,2,CHOU Tien Chen,2,長球,0,0,1.0,5,896.0,652.0,1.0,9,742.0,343.0,,,NG Ka Long Angus,,10,0.8831313714345479,1.6325050968239083,9,-0.0503759203653374,-0.9403068238886316,0,1,44,1808,0.9473684210526316,0,True,1,2.0,1,0.0387194342911243,0.0501523800194263,0.0548954494297504,0.0572307147085666,0.0537807382643222,0.0435155034065246,0.0410557091236114,0.0480811558663845,0.0676443129777908,0.0854396447539329,0.1055708229541778,0.0874230340123176,0.0654924660921096,0.0512480698525905,0.0420135036110878,0.0353399589657783,0.0299331005662679,0.0220443550497293,0.0204196665436029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5510051250457764,3
20,00:03:52,5819.0,0,2,NG Ka Long Angus,3,殺球,0,0,1.0,10,742.0,343.0,2.0,6,958.0,562.0,對手落地致勝,落地致勝,NG Ka Long Angus,,10,0.7019043115873713,-1.4213256423599343,9,0.2321876631567467,1.1012667632945732,0,1,44,1808,1.0,1,True,1,2.0,1,0.0378391705453395,0.0490121953189373,0.0536474362015724,0.0559296086430549,0.0525580644607543,0.0425262041389942,0.0401223339140415,0.0469880625605583,0.0661064609885215,0.0834972262382507,0.1031707376241684,0.0854355245828628,0.0640035346150398,0.050082977861166,0.0410583540797233,0.034536525607109,0.0292525887489318,0.0215431898832321,0.0195707026869058,0.0231191292405128,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5532147884368896,3
1,00:04:14,6358.0,0,3,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,7,624.0,514.0,,,NG Ka Long Angus,,9,0.1251272301824713,-0.8161456226127962,9,-0.660035130267577,1.0154943311158526,0,1,44,1809,0.0,1,True,1,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3238153457641601,4
2,00:04:15,6377.0,0,3,CHOU Tien Chen,2,挑球,0,1,2.0,8,624.0,514.0,1.0,3,503.0,340.0,,,NG Ka Long Angus,,9,-0.0818425308843319,0.7816313835779614,9,0.0097340284087277,-0.7885357336925534,0,1,44,1809,0.0526315789473684,0,True,1,3.0,2,0.4563215970993042,0.5436784029006958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3500541150569916,4
3,00:04:16,6402.0,0,3,NG Ka Long Angus,2,長球,0,0,1.0,4,503.0,340.0,1.0,5,383.0,620.0,,,NG Ka Long Angus,,9,-0.58450291997776,-1.3065351228895077,9,-0.0520245061432505,0.8836783324983433,0,1,44,1809,0.1052631578947368,1,True,1,3.0,2,0.2829863429069519,0.334256500005722,0.3827571272850036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3581706285476684,4
4,00:04:17,6427.0,0,3,CHOU Tien Chen,2,殺球,1,0,1.0,6,383.0,620.0,2.0,8,755.0,377.0,,,NG Ka Long Angus,,9,-0.7693522116755698,1.3484233626775783,9,-0.3899215329369355,-1.126399856918059,0,1,44,1809,0.1578947368421052,0,True,1,3.0,2,0.1939164251089096,0.2290493100881576,0.2578106820583343,0.3192235231399536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3544703423976898,4
5,00:04:17,6438.0,0,3,NG Ka Long Angus,2,接殺防守,0,1,2.0,9,755.0,377.0,2.0,6,956.0,553.0,,,NG Ka Long Angus,,9,-0.457274504007129,-0.9670620841085092,6,-0.8555216843283819,1.4810387851039384,0,1,44,1809,0.1578947368421052,1,True,1,3.0,2,0.1481418013572693,0.1749814599752426,0.196953609585762,0.2312295287847519,0.2486936599016189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3555760383605957,4
6,00:04:18,6464.0,0,3,CHOU Tien Chen,2,挑球,0,0,2.0,7,956.0,553.0,2.0,3,451.0,344.0,,,NG Ka Long Angus,,9,0.9286994218136876,1.0294623850032023,9,0.6969582197785409,-0.8045320951276708,0,1,44,1809,0.2105263157894736,0,True,1,3.0,2,0.1203099712729454,0.1421071887016296,0.1599513590335846,0.1877877414226532,0.2012338042259216,0.1886099129915237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3469398915767669,4
7,00:04:19,6494.0,0,3,NG Ka Long Angus,2,長球,0,0,2.0,4,451.0,344.0,1.0,3,364.0,633.0,,,NG Ka Long Angus,,10,-0.5807987857896831,-1.4158368746863637,9,0.1008310845814251,1.1933999054824251,0,1,44,1809,0.2631578947368421,1,True,1,3.0,2,0.1033904030919075,0.1221222057938575,0.1374568939208984,0.1613785773515701,0.1729336678981781,0.1614525765180587,0.1412656903266906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3273001313209533,4
8,00:04:20,6522.0,0,3,CHOU Tien Chen,2,殺球,1,0,1.0,4,364.0,633.0,2.0,8,757.0,386.0,,,NG Ka Long Angus,,4,-0.9392668088856002,1.535061415692219,9,-0.4659423736199757,-1.1855295229548468,0,1,44,1809,0.3157894736842105,0,True,1,3.0,2,0.091678462922573,0.1082883477210998,0.1218859404325485,0.1430978029966354,0.1533439457416534,0.1431634277105331,0.1225031390786171,0.1160389557480812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3189591765403747,4
9,00:04:21,6533.0,0,3,NG Ka Long Angus,2,接殺防守,0,1,2.0,9,757.0,386.0,2.0,6,915.0,525.0,,,NG Ka Long Angus,,9,-0.4136832083399441,-1.0243481124986895,4,-1.1096221375175703,1.5683594789172783,0,1,44,1809,0.3684210526315789,1,True,1,3.0,2,0.081727311015129,0.096534289419651,0.1086559444665908,0.1275653839111328,0.1366993635892868,0.1276238858699798,0.1092061474919319,0.0981317162513732,0.1138560101389885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3178431987762451,4
10,00:04:22,6560.0,0,3,CHOU Tien Chen,2,挑球,0,0,2.0,7,915.0,525.0,1.0,6,872.0,363.0,,,NG Ka Long Angus,,9,0.9017233293332528,0.7627198525051787,9,0.7742771137425186,-0.7641753424669696,0,1,44,1809,0.4210526315789473,0,True,1,3.0,2,0.0703996270895004,0.0831543132662773,0.093595877289772,0.1098843961954116,0.1177523881196975,0.1099347919225692,0.0940698236227035,0.0845303237438201,0.0971814692020416,0.1394969969987869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3528839945793152,4
11,00:04:23,6596.0,0,3,NG Ka Long Angus,2,殺球,0,0,1.0,7,872.0,363.0,2.0,8,709.0,567.0,,,NG Ka Long Angus,,7,1.3027953563979668,-1.103581639010626,9,0.6847987289369867,0.9896060880811904,0,1,44,1809,0.4736842105263157,1,True,1,3.0,2,0.0587915815412998,0.0694431662559509,0.0781630426645279,0.091765783727169,0.0983364358544349,0.0918078646063804,0.0785588324069976,0.0705922991037368,0.0811574086546897,0.1171488538384437,0.1642347127199173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3699262738227844,4
