ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,ball_round50,ball_round51,ball_round52,ball_round53,ball_round54,ball_round55,ball_round56,ball_round57,ball_round58,ball_round59,ball_round60,ball_round61,ball_round62,ball_round63,win_prob,rally
11,00:00:51,1549.0,0,0,Kento MOMOTA,2,切球,0,0,1.0,5,395.0,640.0,2.0,6,817.0,432.0,,,Kento MOMOTA,,9,-0.0177906219366087,1.3166673178373582,9,-0.1994510645762517,-1.0233852804045236,0,1,41,1557,0.6666666666666666,0,True,0,0.0,0,0.0045434632338583,0.0012623145012184,0.0044413604773581,0.0064842817373573,0.0263278950005769,0.1116225644946098,0.1206468567252159,0.0473618358373642,0.1607924550771713,0.0396641641855239,0.4768527746200561,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6858887672424316,1
12,00:00:52,1577.0,0,0,WANG Tzu Wei,2,挑球,0,1,2.0,7,817.0,432.0,1.0,9,445.0,641.0,,,Kento MOMOTA,,9,0.8167703167454937,-0.6954439895865786,9,0.0314622622396441,1.2431722607915272,0,1,41,1557,0.7333333333333333,1,True,0,0.0,0,0.0018615613225847,0.000517199281603,0.0018197272438555,0.0026567589957267,0.0107871433719992,0.0457343310117721,0.0494317896664142,0.0194052327424287,0.0658803582191467,0.0162513200193643,0.4810521602630615,0.3046024441719055,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1309140771627426,1
13,00:00:53,1616.0,0,0,Kento MOMOTA,2,殺球,0,0,1.0,10,445.0,641.0,2.0,8,761.0,409.0,,,Kento MOMOTA,,9,-0.1671922866450843,1.318476531728744,9,-0.1792915046793916,-0.8963528537808708,0,1,41,1557,0.8,0,True,0,0.0,0,0.0018799646059051,0.0005223122425377,0.0018377170199528,0.0026830236893147,0.0108937844634056,0.0461864583194255,0.0499204695224761,0.0195970702916383,0.0665316507220268,0.0164119787514209,0.4858078360557556,0.2595688700675964,0.0381589382886886,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150306761264801,1
14,00:00:54,1630.0,0,0,WANG Tzu Wei,2,接殺防守,0,1,2.0,9,761.0,409.0,2.0,7,749.0,527.0,,,Kento MOMOTA,,9,-0.4045995929958598,-1.020862607353216,9,-0.5277415252450037,1.4706886273452404,0,1,41,1557,0.8666666666666667,1,True,0,0.0,0,0.0014721334446221,0.0004090041620656,0.001439050771296,0.002100980374962,0.0085305348038673,0.0361669734120368,0.0390909425914287,0.0153457690030336,0.0520985685288906,0.0128516368567943,0.3804188370704651,0.2032591551542282,0.1119303181767463,0.1348861902952194,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2083340436220169,1
15,00:00:55,1660.0,0,0,Kento MOMOTA,2,挑球,0,1,2.0,8,749.0,527.0,1.0,3,517.0,376.0,,,Kento MOMOTA,,9,0.2649276228149895,1.0362369210459337,9,0.1278123052258891,-0.9473732287802508,0,1,41,1557,0.9333333333333332,0,True,0,0.0,0,0.0016051687998697,0.0004459655028767,0.001569096581079,0.0022908442188054,0.0093014324083924,0.0394353494048118,0.0426235608756542,0.0167325530201196,0.0568066723644733,0.0140130287036299,0.4147969484329223,0.2216275036334991,0.1220453679561615,0.036153070628643,0.0205534808337688,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1811229884624481,1
16,00:00:56,1695.0,0,0,WANG Tzu Wei,3,殺球,0,0,1.0,4,517.0,376.0,2.0,10,286.0,607.0,出界,對手出界,Kento MOMOTA,,10,-0.392951426928635,-1.41133103747328,9,0.134395430675394,1.0289939719853638,0,1,41,1557,1.0,1,True,0,0.0,0,0.0015022737206891,0.0004173780616838,0.0014685138594359,0.0021439956035465,0.0087051885202527,0.0369074530899524,0.0398912876844406,0.0156599581241607,0.0531652309000492,0.0131147606298327,0.3882074952125549,0.2074206620454788,0.1142219752073288,0.0338355749845504,0.0205731838941574,0.0627650469541549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2038027197122573,1
1,00:01:10,2125.0,1,0,Kento MOMOTA,1,發短球,0,1,2.0,8,,,2.0,7,741.0,452.0,,,WANG Tzu Wei,,9,-0.0563736021331812,0.9232663199811798,9,0.5696391414323652,-1.098064901140196,0,1,41,1558,0.0,0,True,1,-1.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8737318515777588,2
2,00:01:11,2151.0,1,0,WANG Tzu Wei,2,推撲球,0,1,2.0,8,741.0,452.0,1.0,5,896.0,627.0,,,WANG Tzu Wei,,9,0.5994676991222898,-0.5761553909683128,9,0.1866754455804052,1.001718688967003,0,1,41,1558,0.0769230769230769,1,True,1,-1.0,-1,0.6473331451416016,0.3526667952537536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8228123784065247,2
3,00:01:12,2180.0,1,0,Kento MOMOTA,2,長球,1,0,1.0,6,896.0,627.0,1.0,4,777.0,376.0,,,WANG Tzu Wei,,6,1.2922844169189367,1.3718416171729035,9,0.1947468718645087,-0.9166340019879384,0,1,41,1558,0.1538461538461538,0,True,1,-1.0,-1,0.4292824566364288,0.0917323231697082,0.4789852797985077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8406304121017456,2
4,00:01:13,2213.0,1,0,WANG Tzu Wei,2,長球,1,0,1.0,5,777.0,376.0,1.0,4,380.0,651.0,,,WANG Tzu Wei,,10,0.7682105258640209,-1.4256458300276826,9,0.8016833483064922,1.1505567063576922,0,1,41,1558,0.2307692307692307,1,True,1,-1.0,-1,0.156990110874176,0.0335468351840972,0.126142144203186,0.6833208799362183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1431785374879837,2
5,00:01:15,2252.0,1,0,Kento MOMOTA,2,長球,0,0,1.0,5,380.0,651.0,1.0,3,522.0,374.0,,,WANG Tzu Wei,,9,-0.3304681820662818,1.360140578038986,9,0.0639086549864927,-1.1414701271245484,0,1,41,1558,0.3846153846153846,0,True,1,-1.0,-1,0.0808324366807937,0.01727288775146,0.064949169754982,0.1275409311056137,0.7094045281410217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001473784446716,2
6,00:01:16,2293.0,1,0,WANG Tzu Wei,2,長球,0,0,1.0,4,522.0,374.0,1.0,6,336.0,611.0,,,WANG Tzu Wei,,10,-0.7224547020614893,-1.4972860249135795,9,0.0576411332739443,1.13410906190522,0,1,41,1558,0.4615384615384615,1,True,1,-1.0,-1,0.009707149118185,0.002074297517538,0.007799731567502,0.0153163624927401,0.0779558196663856,0.8871467113494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0847147703170776,2
7,00:01:17,2318.0,1,0,Kento MOMOTA,2,長球,0,0,1.0,7,336.0,611.0,1.0,3,494.0,375.0,,,WANG Tzu Wei,,9,-0.3824855013919708,1.1479592197857411,9,-0.4683107943929204,-1.3397691298260204,0,1,41,1558,0.5384615384615384,0,True,1,-1.0,-1,0.0150932315737009,0.0032252366654574,0.0121274683624506,0.0238147564232349,0.1212101727724075,0.4743160605430603,0.3502130210399627,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6539310216903687,2
8,00:01:18,2360.0,1,0,WANG Tzu Wei,2,切球,0,0,1.0,4,494.0,375.0,2.0,1,787.0,535.0,,,WANG Tzu Wei,,4,-0.8669297478973874,-1.477344441135462,9,-0.0653826159418723,1.0839785774469055,0,1,41,1558,0.6153846153846154,1,True,1,-1.0,-1,0.0080249346792697,0.0017148292390629,0.0064480653963983,0.0126620912924408,0.0644463524222374,0.252189576625824,0.1436117738485336,0.5109024047851562,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0693882778286933,2
9,00:01:19,2382.0,1,0,Kento MOMOTA,2,網前球,0,1,2.0,2,787.0,535.0,2.0,1,507.0,453.0,,,WANG Tzu Wei,,9,0.3615645528650132,1.017384329692555,10,-0.4182159960857386,-1.4288681928140057,0,1,41,1558,0.6923076923076923,0,True,1,-1.0,-1,0.0101082604378461,0.0021600099280476,0.0081220250576734,0.0159492511302232,0.0811770483851432,0.3176596164703369,0.1808943301439285,0.2311437278985977,0.1527857184410095,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4118583798408508,2
10,00:01:20,2412.0,1,0,WANG Tzu Wei,2,推撲球,0,0,2.0,2,507.0,453.0,1.0,4,393.0,644.0,,,WANG Tzu Wei,,8,-0.5267397961358129,-0.4353920946096711,9,0.1987916517909824,1.0193592967727252,0,1,41,1558,0.7692307692307693,1,True,1,-1.0,-1,0.0056954598985612,0.0012170491972938,0.0045763235539197,0.0089865438640117,0.0457388907670974,0.1789840757846832,0.1019242033362388,0.1302370429039001,0.0858679190278053,0.4367724955081939,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1098397895693779,2
11,00:01:21,2442.0,1,0,Kento MOMOTA,2,切球,0,0,1.0,5,393.0,644.0,2.0,6,857.0,432.0,,,WANG Tzu Wei,,9,-0.2451695213421893,1.2465238078219103,9,-0.4569417902453225,-0.8154575890321007,0,1,41,1558,0.8461538461538461,0,True,1,-1.0,-1,0.0060436157509684,0.0012914459221065,0.004856068175286,0.0095358788967132,0.0485348477959632,0.1899251490831375,0.1081546992063522,0.1381982564926147,0.0911169126629829,0.1210635378956794,0.2812796235084533,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6885510683059692,2
12,00:01:22,2472.0,1,0,WANG Tzu Wei,2,挑球,0,1,2.0,7,857.0,432.0,1.0,3,849.0,651.0,,,WANG Tzu Wei,,7,1.1393244503589617,-0.6994016072996946,9,-0.0277959390845788,1.2274296486651022,0,1,41,1558,0.9230769230769232,1,True,1,-1.0,-1,0.0029419492930173,0.0006286581046879,0.0023638673592358,0.0046419352293014,0.023626098409295,0.0924529507756233,0.0526482202112674,0.0672730132937431,0.04435446113348,0.0589320696890354,0.2074903398752212,0.4426464438438415,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256704568862915,2
13,00:01:23,2508.0,1,0,Kento MOMOTA,3,殺球,1,0,1.0,4,849.0,651.0,2.0,10,873.0,389.0,出界,對手出界,WANG Tzu Wei,,6,1.339708917880439,1.4707264477559772,9,0.1955708854480488,-0.9009586554852383,0,1,41,1558,1.0,0,True,1,-1.0,-1,0.003570519387722,0.0007629757164977,0.0028689259197562,0.0056337201967835,0.0286739952862262,0.1122062355279922,0.0638969242572784,0.0816464126110076,0.0538311339914798,0.0715233609080314,0.2518222332000732,0.241235077381134,0.0823284536600112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5813588500022888,2
1,00:01:41,3030.0,1,1,WANG Tzu Wei,1,發短球,0,1,2.0,8,,,2.0,7,595.0,514.0,,,WANG Tzu Wei,,9,0.0956679846371495,-0.884108970595563,9,-0.4022494773663015,0.871931256045416,0,1,41,1559,0.0,1,True,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6842470765113831,3
2,00:01:41,3054.0,1,1,Kento MOMOTA,2,挑球,0,1,2.0,8,595.0,514.0,1.0,3,518.0,378.0,,,WANG Tzu Wei,,9,-0.4141586863030061,0.8344726049703818,9,-0.0725233592737924,-0.913349812278974,0,1,41,1559,0.0,0,True,1,0.0,1,0.6560813784599304,0.3439186215400696,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8301658034324646,3
3,00:01:43,3091.0,1,1,WANG Tzu Wei,2,殺球,0,0,1.0,4,518.0,378.0,2.0,6,427.0,562.0,,,WANG Tzu Wei,,10,-0.7954461988154866,-1.514624368247553,9,0.0910390297554669,0.9669773164774392,0,1,41,1559,0.5,1,True,1,0.0,1,0.5178967714309692,0.2646539509296417,0.2174492925405502,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8310333490371704,3
4,00:01:43,3106.0,1,1,Kento MOMOTA,2,接殺防守,0,0,2.0,7,427.0,562.0,2.0,7,735.0,451.0,,,WANG Tzu Wei,,9,0.1520156490327795,1.0464066412566009,9,-0.6615907998353474,-1.3549321958392415,0,1,41,1559,0.5,0,True,1,0.0,1,0.4572931230068207,0.2336844652891159,0.0859475210309028,0.2230748385190963,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8861510753631592,3
5,00:01:44,3133.0,1,1,WANG Tzu Wei,2,推撲球,0,1,2.0,8,735.0,451.0,1.0,3,858.0,647.0,,,WANG Tzu Wei,,9,0.4890156696028252,-0.5748012149639807,9,0.2018386675369581,1.0633225477243702,0,1,41,1559,0.75,1,True,1,0.0,1,0.2115305811166763,0.1080956757068634,0.0397568382322788,0.3400051891803741,0.3006117641925812,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7593099474906921,3
6,00:01:45,3163.0,1,1,Kento MOMOTA,3,切球,1,0,1.0,4,858.0,647.0,2.0,7,587.0,482.0,掛網,對手掛網,WANG Tzu Wei,,6,1.1426623465223138,1.4955508072442296,9,0.1487741867859735,-0.838269576606773,0,1,41,1559,1.0,0,True,1,0.0,1,0.0385674908757209,0.0197086352854967,0.0072486968711018,0.0619917251169681,0.0286217015236616,0.8438616991043091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8965253233909607,3
1,00:02:01,3643.0,1,2,WANG Tzu Wei,1,發短球,0,1,2.0,8,,,2.0,7,770.0,517.0,,,Kento MOMOTA,,9,-0.1144130819521101,-0.897149992031717,9,0.6618561325719595,0.8214005003778718,0,1,41,1560,0.0,1,True,0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6496245861053467,4
2,00:02:02,3666.0,1,2,Kento MOMOTA,2,網前球,0,1,2.0,8,770.0,517.0,2.0,7,684.0,467.0,,,Kento MOMOTA,,9,0.6617646115993399,0.8308473904832242,9,-0.0134897545296574,-0.8983900012876319,0,1,41,1560,0.1111111111111111,0,True,0,1.0,2,0.7572304606437683,0.2427695244550705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8036776185035706,4
3,00:02:03,3689.0,1,2,WANG Tzu Wei,2,推撲球,0,1,2.0,8,684.0,467.0,1.0,9,433.0,652.0,,,Kento MOMOTA,,8,0.0790710335889637,-0.4151864403882077,9,0.4435262527328598,0.8334985226488664,0,1,41,1560,0.2222222222222222,1,True,0,1.0,2,0.4957190752029419,0.4023239910602569,0.1019569709897041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3798301815986633,4
4,00:02:04,3728.0,1,2,Kento MOMOTA,2,切球,0,0,1.0,10,433.0,652.0,2.0,8,533.0,432.0,,,Kento MOMOTA,,9,-0.1827550466249532,1.3896955790105434,9,-0.1786159348555561,-0.8188755578977247,0,1,41,1560,0.3333333333333333,0,True,0,1.0,2,0.4082095623016357,0.3313015699386596,0.0405755639076232,0.2199132740497589,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4237130880355835,4
5,00:02:05,3750.0,1,2,WANG Tzu Wei,2,網前球,0,0,2.0,9,533.0,432.0,2.0,7,588.0,495.0,,,Kento MOMOTA,,9,-0.4493672484492111,-0.7096361105859769,9,-0.0204877499725465,1.2926115666975686,0,1,41,1560,0.4444444444444444,1,True,0,1.0,2,0.2011648565530777,0.1632647514343261,0.0199955552816391,0.132711723446846,0.4828630983829498,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2683099508285522,4
6,00:02:06,3778.0,1,2,Kento MOMOTA,2,挑球,0,1,2.0,8,588.0,495.0,1.0,3,506.0,375.0,,,Kento MOMOTA,,9,-0.233523829831881,0.8417232419922502,9,-0.1044223291624323,-0.7892236913376465,0,1,41,1560,0.5555555555555556,0,True,0,1.0,2,0.129598319530487,0.1051815748214721,0.0128819234669208,0.085498109459877,0.0905706360936164,0.5762694478034973,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6632633209228516,4
7,00:02:07,3823.0,1,2,WANG Tzu Wei,2,殺球,0,0,1.0,4,506.0,375.0,2.0,8,494.0,570.0,,,Kento MOMOTA,,10,-0.7642895834309709,-1.5150087360933937,9,-0.0249727485668515,1.1094153452513436,0,1,41,1560,0.6666666666666666,1,True,0,1.0,2,0.0362454019486904,0.0294166486710309,0.0036027510650455,0.02391167730093,0.0253303367644548,0.1386244446039199,0.7428687810897827,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6057392358779907,4
8,00:02:07,3834.0,1,2,Kento MOMOTA,2,接殺防守,0,0,2.0,9,494.0,570.0,2.0,6,819.0,427.0,,,Kento MOMOTA,,9,0.2042434339165907,1.0980192334791,4,-0.9673957909422392,-1.6424324394154228,0,1,41,1560,0.6666666666666666,0,True,0,1.0,2,0.0306121800094842,0.0248447451740503,0.0030428154859691,0.0201953500509262,0.0213935226202011,0.1170795783400535,0.321454793214798,0.4613770544528961,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6392510533332825,4
