ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,win_prob
11,00:07:01,10525.0,0,0,CHOU Tien Chen,2,接殺防守,0,0,2.0,9,733.0,547.0,,8,532.0,401.0,,,CHOU Tien Chen,,9,0.5831547982656281,1.0351469045527253,9,0.2577609300486562,-1.0773031242741915,0,1,36,1077,0.5294117647058824,0,True,0,0.0,0,0.0009057176066562533,0.002909512259066105,0.00982188992202282,0.01885235495865345,0.022431328892707825,0.03432215005159378,0.07356762886047363,0.11209962517023087,0.244686558842659,0.13734981417655945,0.3430534601211548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.8259405493736267
12,00:07:01,10545.0,0,0,Anders ANTONSEN,2,網前球,0,0,2.0,9,532.0,401.0,,2,442.0,495.0,,,CHOU Tien Chen,,9,-0.4070972764433506,-0.653044682500135,9,0.0270850247949266,0.9826433381227666,0,1,36,1077,0.5294117647058824,1,True,0,0.0,0,0.0010888476390391588,0.0034977959003299475,0.011807809583842754,0.02266417257487774,0.026966789737343788,0.04126185551285744,0.08844250440597534,0.1347654014825821,0.29416051506996155,0.16512101888656616,0.14645344018936157,0.06376984715461731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.6430813670158386
13,00:07:02,10571.0,0,0,CHOU Tien Chen,2,網前球,0,1,2.0,3,442.0,495.0,,1,458.0,445.0,,,CHOU Tien Chen,,3,-1.0141840306472234,0.6449300497013203,9,-0.3822395717141799,-0.8244382361734468,0,1,36,1077,0.5882352941176471,0,True,0,0.0,0,0.000874126038979739,0.0028080279007554054,0.009479300118982792,0.018194781616330147,0.021648917347192764,0.03312498703598976,0.0710015743970871,0.10818956047296524,0.2361518293619156,0.13255903124809265,0.11757271736860275,0.04140802100300789,0.20698708295822144,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.7023961544036865
14,00:07:03,10593.0,0,0,Anders ANTONSEN,2,網前球,0,0,2.0,2,458.0,445.0,,2,456.0,471.0,,,CHOU Tien Chen,,2,-1.0085706889800314,-0.2953943088534571,9,-0.4309390746435472,0.8172739982574703,0,1,36,1077,0.6470588235294118,1,True,0,0.0,0,0.000879625731613487,0.002825695089995861,0.009538941085338593,0.018309256061911583,0.021785125136375427,0.03333339840173721,0.07144829630851746,0.1088702529668808,0.23763762414455414,0.1333930492401123,0.11831244081258774,0.04166854918003082,0.06406431645154953,0.1379334181547165,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5754902958869934
15,00:07:04,10617.0,0,0,CHOU Tien Chen,2,挑球,0,1,2.0,3,456.0,471.0,,3,509.0,329.0,,,CHOU Tien Chen,,3,-0.979913125087583,0.3330155799326479,8,-0.6578382185613644,-0.4881904847890421,0,1,36,1077,0.7058823529411765,0,True,0,0.0,0,0.00036331042065285146,0.0011670923558995128,0.003939853515475988,0.007562242913991213,0.00899787899106741,0.013767640106379986,0.029510173946619034,0.04496650770306587,0.09815108776092529,0.055095117539167404,0.0488663986325264,0.017210297286510468,0.026460381224751472,0.04734736680984497,0.5965946912765503,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5220664739608765
16,00:07:06,10663.0,0,0,Anders ANTONSEN,2,長球,0,0,1.0,4,509.0,329.0,,5,795.0,584.0,,,CHOU Tien Chen,,4,-0.853469426767262,-1.5894253975682584,9,-0.1667600463538354,0.9309120549410146,0,1,36,1077,0.8235294117647058,1,True,0,0.0,0,0.0003932807594537735,0.0012633685255423188,0.004264861345291138,0.008186070248484612,0.009740132838487625,0.014903363771736622,0.03194453567266464,0.04867590218782425,0.10624780505895615,0.05964004620909691,0.052897509187459946,0.01863001473248005,0.028643162921071053,0.05125316604971886,0.15825171768665314,0.40506505966186523,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.3586171269416809
17,00:07:07,10688.0,0,0,CHOU Tien Chen,2,切球,0,0,1.0,6,795.0,584.0,,2,794.0,414.0,,,CHOU Tien Chen,,9,0.6735870077841729,1.2470054131949546,9,-0.2343394394750729,-1.2657388826886218,0,1,36,1077,0.8823529411764706,0,True,0,0.0,0,0.0001915928878588602,0.0006154697621241212,0.0020776940509676933,0.003987972624599934,0.004745059181004763,0.0072604077868163586,0.01556228194385767,0.02371322736144066,0.05176028236746788,0.029054580256342888,0.025769846513867378,0.009075903333723545,0.013953964225947857,0.02496878243982792,0.07709480077028275,0.18655429780483246,0.5236138105392456,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5357137322425842
18,00:07:08,10709.0,0,0,Anders ANTONSEN,2,挑球,0,1,2.0,3,794.0,414.0,,9,533.0,630.0,,,CHOU Tien Chen,,7,1.0616117026798906,-0.6593475226846408,9,0.7117122379255911,1.2392133421488385,0,1,36,1077,0.9411764705882352,1,True,0,0.0,0,0.0002503849391359836,0.0008043324341997504,0.0027152537368237972,0.00521171884611249,0.0062011233530938625,0.009488331153988838,0.02033771388232708,0.030989855527877808,0.0676434114575386,0.037970248609781265,0.033677566796541214,0.011860929429531097,0.018235867843031883,0.03263068571686745,0.10075205564498901,0.24380022287368774,0.21898455917835236,0.15844576060771942,0.0,,,,,,,,,,,,,,,,,,,,,0.3801615536212921
19,00:07:09,10741.0,0,0,CHOU Tien Chen,3,殺球,1,0,1.0,10,533.0,630.0,2.0,6,833.0,364.0,對手落地致勝,落地致勝,CHOU Tien Chen,,9,-0.5438665396413708,1.5033679477611923,9,-0.2938939733477878,-1.04036005817642,0,1,36,1077,1.0,0,True,0,0.0,0,0.00021476538677234203,0.0006899088039062917,0.0023289842065423727,0.00447030458599329,0.005318956915289164,0.00813852995634079,0.017444487661123276,0.026581265032291412,0.058020517230033875,0.03256863355636597,0.028886625543236732,0.010173603892326355,0.015641650184988976,0.027988672256469727,0.08641915768384933,0.20911741256713867,0.18783199787139893,0.14705504477024078,0.13110949099063873,,,,,,,,,,,,,,,,,,,,,0.42657431960105896
1,00:08:55,13393.0,1,1,Anders ANTONSEN,1,發長球,0,1,2.0,8,,,,6,460.0,612.0,,,CHOU Tien Chen,,9,0.0765521287026164,-0.6151482605325397,9,-0.655786600458181,1.0553798926404727,0,1,36,1079,0.0,1,True,0,0.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572149395942688
2,00:08:56,13419.0,1,1,CHOU Tien Chen,2,殺球,1,0,1.0,7,460.0,612.0,,8,631.0,378.0,,,CHOU Tien Chen,,9,-0.6686338718649335,1.2180350855988216,9,-0.4191592733621821,-0.9763010082149648,0,1,36,1079,0.1666666666666666,0,True,0,0.0,-1,0.46623000502586365,0.533769965171814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4621545672416687
3,00:08:57,13433.0,1,1,Anders ANTONSEN,2,接殺防守,0,1,2.0,9,631.0,378.0,,8,548.0,579.0,,,CHOU Tien Chen,,9,-0.5599484910752397,-0.9385050410477832,9,-0.6656926320294864,1.412717028342679,0,1,36,1079,0.3333333333333333,1,True,0,0.0,-1,0.20198316872119904,0.12566033005714417,0.6723565459251404,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19712190330028534
4,00:08:58,13456.0,1,1,CHOU Tien Chen,2,長球,1,0,1.0,9,548.0,579.0,,9,753.0,340.0,,,CHOU Tien Chen,,9,-0.3788075939165449,1.1222883872706302,9,-0.3958181548142453,-0.9890557068358748,0,1,36,1079,0.5,0,True,0,0.0,-1,0.0321648083627224,0.020010782405734062,0.10580283403396606,0.8420215845108032,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9163845777511597
5,00:08:59,13482.0,1,1,Anders ANTONSEN,2,殺球,1,0,1.0,10,753.0,340.0,,8,770.0,544.0,,,CHOU Tien Chen,,9,0.4404439984940914,-1.222552569989155,9,0.2486267593701801,1.0918878325197738,0,1,36,1079,0.6666666666666666,1,True,0,0.0,-1,0.03140414506196976,0.0195375457406044,0.10330069065093994,0.2891767919063568,0.5565808415412903,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5718294978141785
6,00:08:59,13495.0,1,1,CHOU Tien Chen,2,接殺防守,0,0,1.0,9,770.0,544.0,,8,533.0,364.0,,,CHOU Tien Chen,,9,0.6571516303363085,1.068681101070067,9,0.5156061812353279,-1.262773670399843,0,1,36,1079,0.6666666666666666,0,True,0,0.0,-1,0.00948525033891201,0.0059010847471654415,0.031200755387544632,0.08734243363142014,0.14850960671901703,0.7175609469413757,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9009265303611755
7,00:09:00,13508.0,1,1,Anders ANTONSEN,2,平球,0,0,1.0,9,533.0,364.0,,8,701.0,528.0,,,CHOU Tien Chen,,9,0.0969367037701195,-1.0258455890381393,9,0.4507743508037286,1.001122968245906,0,1,36,1079,0.8333333333333334,1,True,0,0.0,-1,0.011368053033947945,0.00707243662327528,0.03739403188228607,0.10467970371246338,0.1779884397983551,0.31018704175949097,0.35131022334098816,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5999435782432556
8,00:09:00,13523.0,1,1,CHOU Tien Chen,2,平球,0,0,2.0,9,701.0,528.0,,6,774.0,372.0,,,CHOU Tien Chen,,9,0.166179416802749,0.8107747645465775,6,-0.9065308906680212,-0.9271479800824456,0,1,36,1079,0.8333333333333334,0,True,0,0.0,-1,0.004023744724690914,0.0025033033452928066,0.01323569193482399,0.03705158829689026,0.06299935281276703,0.10979130119085312,0.12203296273946762,0.6483620405197144,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8455715179443359
9,00:09:01,13536.0,1,1,Anders ANTONSEN,3,接殺防守,0,1,1.0,7,774.0,372.0,,10,982.0,640.0,出界,對手出界,CHOU Tien Chen,,9,0.0796127848530011,-0.8979221201735816,9,0.3081932929003615,0.8724559798663934,0,1,36,1079,1.0,1,True,0,0.0,-1,0.004129804205149412,0.002569286385551095,0.013584566302597523,0.03802821785211563,0.06465993076562881,0.11268524825572968,0.12524959444999695,0.1876308023929596,0.4514625668525696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3672935366630554
1,00:09:17,13933.0,2,1,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,,8,544.0,408.0,,,CHOU Tien Chen,,9,0.1075132897090965,0.7840790074468765,9,-0.412169288498338,-1.0019985418390964,0,1,36,1080,0.0,0,True,0,-1.0,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6108701825141907
2,00:09:18,13953.0,2,1,Anders ANTONSEN,2,推撲球,0,0,2.0,9,544.0,408.0,,5,861.0,624.0,,,CHOU Tien Chen,,9,-0.4506891923331454,-0.5933541205122159,9,0.1002486225500634,0.828079203391745,0,1,36,1080,0.0833333333333333,1,True,0,-1.0,-2,0.32494521141052246,0.6750547885894775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31145280599594116
3,00:09:19,13983.0,2,1,CHOU Tien Chen,2,長球,0,0,1.0,6,861.0,624.0,,4,781.0,333.0,,,CHOU Tien Chen,,4,0.9642741878081136,1.560757906455225,9,0.0639873799543356,-0.9106412046845858,0,1,36,1080,0.1666666666666666,0,True,0,-1.0,-2,0.03712232783436775,0.07162337750196457,0.8912543654441833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9267875552177429
4,00:09:20,14017.0,2,1,Anders ANTONSEN,2,切球,1,0,1.0,5,781.0,333.0,,8,780.0,533.0,,,CHOU Tien Chen,,10,0.8435107212541083,-1.3849044418536332,9,0.4014873971183732,1.0842321763313911,0,1,36,1080,0.25,1,True,0,-1.0,-2,0.042555466294288635,0.08210603892803192,0.2879604995250702,0.5873780250549316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4511505663394928
5,00:09:21,14031.0,2,1,CHOU Tien Chen,2,網前球,0,0,2.0,9,780.0,533.0,,1,469.0,435.0,,,CHOU Tien Chen,,9,0.6562491697523708,1.001908222589557,10,0.9354513127765548,-1.3984308649265549,0,1,36,1080,0.3333333333333333,0,True,0,-1.0,-2,0.019737159833312035,0.03808065131306648,0.13355563580989838,0.2750266492366791,0.5335997939109802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5277485847473145
6,00:09:22,14056.0,2,1,Anders ANTONSEN,2,挑球,0,0,2.0,2,469.0,435.0,,4,417.0,638.0,,,CHOU Tien Chen,,2,-0.9235863984646182,-0.419818099869951,9,-0.0566117806726541,0.965395084509653,0,1,36,1080,0.4166666666666667,1,True,0,-1.0,-2,0.014786007814109325,0.02852794900536537,0.1000526025891304,0.20603497326374054,0.24791978299617767,0.4026786983013153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29438936710357666
7,00:09:23,14098.0,2,1,CHOU Tien Chen,2,切球,1,0,1.0,5,417.0,638.0,,5,518.0,407.0,,,CHOU Tien Chen,,5,-1.268555929793126,1.574238658050075,9,-0.6776185800844506,-0.8007420862268543,0,1,36,1080,0.5,0,True,0,-1.0,-2,0.005691159050911665,0.010980457067489624,0.03851041942834854,0.07930321246385574,0.09542475640773773,0.14462284743785858,0.6254671812057495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6781155467033386
8,00:09:24,14123.0,2,1,Anders ANTONSEN,2,網前球,0,0,2.0,6,518.0,407.0,,7,556.0,484.0,,,CHOU Tien Chen,,6,-0.933905117142112,-0.7035179795219602,9,-0.6480728401118512,1.2419733978694123,0,1,36,1080,0.5833333333333334,1,True,0,-1.0,-2,0.004414435010403395,0.008517156355082989,0.029871193692088127,0.061512745916843414,0.07401765882968903,0.11217891424894333,0.1624656468629837,0.5470222234725952,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2639193534851074
9,00:09:26,14150.0,2,1,CHOU Tien Chen,2,推撲球,0,1,2.0,8,556.0,484.0,,5,502.0,358.0,,,CHOU Tien Chen,,8,-0.3430451529444093,0.5177924604083864,9,-0.1079061865526512,-0.7124539555715673,0,1,36,1080,0.75,0,True,0,-1.0,-2,0.0024953079409897327,0.004814418498426676,0.016885023564100266,0.03477076441049576,0.04183930903673172,0.06341037899255753,0.09183551371097565,0.267606645822525,0.4763425588607788,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3906858265399933
10,00:09:26,14173.0,2,1,Anders ANTONSEN,2,接殺防守,0,0,1.0,6,502.0,358.0,,2,495.0,477.0,,,CHOU Tien Chen,,9,-0.4814907067857927,-0.9509481573107768,9,-0.0829143100905995,0.8796214689560381,0,1,36,1080,0.75,1,True,0,-1.0,-2,0.0025049850810319185,0.004833090119063854,0.01695050671696663,0.03490561246871948,0.04200156778097153,0.0636562928557396,0.0921916663646698,0.26864445209503174,0.19878482818603516,0.2755269706249237,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2575899362564087
11,00:09:27,14195.0,2,1,CHOU Tien Chen,2,網前球,0,1,2.0,3,495.0,477.0,,1,490.0,449.0,,,CHOU Tien Chen,,3,-0.9462723548598834,0.3915249482580935,9,-0.4973124658983843,-0.9510104232194604,0,1,36,1080,0.8333333333333334,0,True,0,-1.0,-2,0.0017915937351062894,0.0034566791728138924,0.01212319266051054,0.02496488392353058,0.030039992183446884,0.04552769660949707,0.06593651324510574,0.19213753938674927,0.1421731412410736,0.16925208270549774,0.3125966191291809,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5292338132858276
12,00:09:28,14217.0,2,1,Anders ANTONSEN,2,網前球,0,0,2.0,2,490.0,449.0,,1,781.0,463.0,,,CHOU Tien Chen,,2,-0.8875560124951997,-0.1842287161697644,8,-0.7610302285817998,0.4689183882688403,0,1,36,1080,0.9166666666666666,1,True,0,-1.0,-2,0.0021462119184434414,0.004140876699239016,0.014522792771458626,0.029906300827860832,0.03598594292998314,0.05453919991850853,0.07898763567209244,0.2301681935787201,0.17031411826610565,0.20275291800498962,0.10249508917331696,0.0740407183766365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2799854874610901
13,00:09:29,14239.0,2,1,CHOU Tien Chen,3,推撲球,0,0,1.0,2,781.0,463.0,2.0,8,751.0,369.0,對手落地致勝,落地致勝,CHOU Tien Chen,,8,0.5792193344584649,0.2300260936749287,8,-0.5923932043844147,-0.2714299423678741,0,1,36,1080,1.0,0,True,0,-1.0,-2,0.0018367654411122203,0.003543834201991558,0.012428858317434788,0.025594333186745644,0.03079739771783352,0.04667559638619423,0.06759899109601974,0.19698195159435272,0.145757794380188,0.17351947724819183,0.08771707862615585,0.06840414553880692,0.13914372026920319,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2996460795402527
1,00:09:56,14917.0,3,1,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,,7,732.0,411.0,,,CHOU Tien Chen,,9,-0.0439105884145583,0.8275268305490222,9,0.7246092496138654,-0.9975213871969242,0,1,36,1081,0.0,0,True,0,-2.0,-3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6125761270523071
2,00:09:57,14934.0,3,1,Anders ANTONSEN,2,網前球,0,1,2.0,8,732.0,411.0,,2,485.0,480.0,,,CHOU Tien Chen,,9,0.603244568323053,-0.5892284101799685,9,0.1066597216252253,0.8368554534911036,0,1,36,1081,0.1111111111111111,1,True,0,-2.0,-3,0.18178628385066986,0.8182136416435242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18904830515384674
3,00:09:58,14956.0,3,1,CHOU Tien Chen,2,挑球,0,1,2.0,3,485.0,480.0,,9,735.0,332.0,,,CHOU Tien Chen,,3,-0.844570155634639,0.5252548036835277,9,-0.1471087433385637,-0.761601216366827,0,1,36,1081,0.2222222222222222,0,True,0,-2.0,-3,0.03205999359488487,0.11792360246181488,0.8500164151191711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8037300109863281
4,00:09:59,14988.0,3,1,Anders ANTONSEN,2,長球,1,0,1.0,10,735.0,332.0,,9,797.0,640.0,,,CHOU Tien Chen,,10,0.3071183858234344,-1.3731737047392556,9,0.2575576812093827,1.0171773822190218,0,1,36,1081,0.3333333333333333,1,True,0,-2.0,-3,0.029456308111548424,0.10834669321775436,0.19238819181919098,0.6698087453842163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2426070123910904
5,00:10:00,15023.0,3,1,CHOU Tien Chen,2,切球,0,0,1.0,10,797.0,640.0,,6,801.0,404.0,,,CHOU Tien Chen,,10,0.7345885268505964,1.6397335989098138,9,-0.0063155814014372,-1.170768576436857,0,1,36,1081,0.4444444444444444,0,True,0,-2.0,-3,0.013862941414117813,0.050990913063287735,0.09054313600063324,0.28858327865600586,0.5560197234153748,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339724540710449
6,00:10:01,15044.0,3,1,Anders ANTONSEN,2,網前球,0,1,2.0,7,801.0,404.0,,7,695.0,487.0,,,CHOU Tien Chen,,7,0.9973270067040638,-0.7081196545342889,9,0.3665780082037998,1.277432367932897,0,1,36,1081,0.5555555555555556,1,True,0,-2.0,-3,0.009380715899169445,0.03450431302189827,0.06126834824681282,0.19527731835842133,0.22831717133522034,0.47125211358070374,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17184333503246307
