,rally,ball_round,player,type,player_location,ball_location,scores,getpoint_player,tactic
31,5,5,Kento MOMOTA,Smash,7,11,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
32,5,6,CHOU Tien Chen,Smash Defence,10,7,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
33,5,7,Kento MOMOTA,Clear,10,1,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
34,5,8,CHOU Tien Chen,Smash,10,11,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
35,5,9,Kento MOMOTA,Smash Defence,11,14,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
36,5,10,CHOU Tien Chen,Lob,5,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
37,5,11,Kento MOMOTA,Clear,11,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
38,5,12,CHOU Tien Chen,Drop,10,14,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
39,5,13,Kento MOMOTA,Push Shot,10,8,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
40,5,14,CHOU Tien Chen,Smash,7,11,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
41,5,15,Kento MOMOTA,Smash Defence,10,18,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
42,5,16,CHOU Tien Chen,Push Shot,8,4,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
43,6,1,CHOU Tien Chen,Serve long,14,6,"[3.0, 2.0]",Kento MOMOTA,DC
44,6,2,Kento MOMOTA,Smash,10,7,"[3.0, 2.0]",Kento MOMOTA,DC
45,6,3,CHOU Tien Chen,Smash Defence,11,5,"[3.0, 2.0]",Kento MOMOTA,DC
46,6,4,Kento MOMOTA,Smash,6,12,"[3.0, 2.0]",Kento MOMOTA,DC
47,6,5,CHOU Tien Chen,Net Shot,11,24,"[3.0, 2.0]",Kento MOMOTA,DC
48,9,1,Kento MOMOTA,Serve short,14,14,"[6.0, 2.0]",CHOU Tien Chen,FCP
49,9,2,CHOU Tien Chen,Net Shot,10,19,"[6.0, 2.0]",CHOU Tien Chen,FCP
50,9,3,Kento MOMOTA,Net Shot,15,14,"[6.0, 2.0]",CHOU Tien Chen,FCP
51,9,4,CHOU Tien Chen,Lob,10,7,"[6.0, 2.0]",CHOU Tien Chen,FCP
52,9,5,Kento MOMOTA,Drop,15,10,"[6.0, 2.0]",CHOU Tien Chen,FCP
53,9,6,CHOU Tien Chen,Smash Defence,10,18,"[6.0, 2.0]",CHOU Tien Chen,FCP
54,9,7,Kento MOMOTA,Lob,7,1,"[6.0, 2.0]",CHOU Tien Chen,FCP
55,9,8,CHOU Tien Chen,Clear,10,7,"[6.0, 2.0]",CHOU Tien Chen,FCP
56,9,9,Kento MOMOTA,Smash,11,5,"[6.0, 2.0]",CHOU Tien Chen,FCP
57,9,10,CHOU Tien Chen,Smash Defence,6,23,"[6.0, 2.0]",CHOU Tien Chen,FCP
58,9,11,Kento MOMOTA,Lob,7,2,"[6.0, 2.0]",CHOU Tien Chen,FCP
59,9,12,CHOU Tien Chen,Clear,14,7,"[6.0, 2.0]",CHOU Tien Chen,FCP
60,9,13,Kento MOMOTA,Drop,11,14,"[6.0, 2.0]",CHOU Tien Chen,FCP
61,9,14,CHOU Tien Chen,Lob,10,7,"[6.0, 2.0]",CHOU Tien Chen,FCP
62,9,15,Kento MOMOTA,Drop,7,9,"[6.0, 2.0]",CHOU Tien Chen,FCP
63,9,16,CHOU Tien Chen,Net Shot,10,18,"[6.0, 2.0]",CHOU Tien Chen,FCP
64,9,17,Kento MOMOTA,Lob,11,1,"[6.0, 2.0]",CHOU Tien Chen,FCP
65,9,18,CHOU Tien Chen,Clear,10,8,"[6.0, 2.0]",CHOU Tien Chen,FCP
66,9,19,Kento MOMOTA,Drop,11,13,"[6.0, 2.0]",CHOU Tien Chen,FCP
67,9,20,CHOU Tien Chen,Net Shot,10,19,"[6.0, 2.0]",CHOU Tien Chen,FCP
68,9,21,Kento MOMOTA,Lob,7,5,"[6.0, 2.0]",CHOU Tien Chen,FCP
69,9,22,CHOU Tien Chen,Smash,10,5,"[6.0, 2.0]",CHOU Tien Chen,FCP
70,10,1,CHOU Tien Chen,Serve short,15,15,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
71,10,2,Kento MOMOTA,Lob,11,5,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
72,10,3,CHOU Tien Chen,Drop,10,18,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
73,10,4,Kento MOMOTA,Net Shot,11,15,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
74,10,5,CHOU Tien Chen,Push Shot,6,6,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
75,10,6,Kento MOMOTA,Drop,10,15,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
76,10,7,CHOU Tien Chen,Drive,11,11,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
77,10,8,Kento MOMOTA,Smash Defence,6,14,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
78,10,9,CHOU Tien Chen,Net Shot,11,22,"[6.0, 3.0]",Kento MOMOTA,FC/FhL/No/No
79,11,1,Kento MOMOTA,Serve short,15,11,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
80,11,2,CHOU Tien Chen,Push Shot,11,7,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
81,11,3,Kento MOMOTA,Drop,11,10,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
82,11,4,CHOU Tien Chen,Smash Defence,10,15,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
83,11,5,Kento MOMOTA,Net Shot,7,13,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
84,11,6,CHOU Tien Chen,Net Shot,10,24,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
85,11,7,Kento MOMOTA,Lob,15,1,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
86,11,8,CHOU Tien Chen,Clear,14,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
87,11,9,Kento MOMOTA,Drop,11,9,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
88,11,10,CHOU Tien Chen,Push Shot,10,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
89,11,11,Kento MOMOTA,Drop,7,9,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
90,11,12,CHOU Tien Chen,Smash Defence,10,20,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
91,11,13,Kento MOMOTA,Net Shot,7,14,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
92,11,14,CHOU Tien Chen,Push Shot,10,7,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
93,11,15,Kento MOMOTA,Drop,11,10,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
94,11,16,CHOU Tien Chen,Drive,10,10,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
95,11,17,Kento MOMOTA,Smash Defence,7,19,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
96,11,18,CHOU Tien Chen,Push Shot,10,3,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
97,11,19,Kento MOMOTA,Clear,10,3,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
98,11,20,CHOU Tien Chen,Clear,10,6,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
99,11,21,Kento MOMOTA,Smash,7,11,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
100,11,22,CHOU Tien Chen,Net Shot,7,19,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
101,11,23,Kento MOMOTA,Smash Defence,6,14,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
102,11,24,CHOU Tien Chen,Lob,11,8,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
103,11,25,Kento MOMOTA,Clear,11,1,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
104,11,26,CHOU Tien Chen,Clear,10,8,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
105,11,27,Kento MOMOTA,Drop,11,13,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
106,11,28,CHOU Tien Chen,Net Shot,10,19,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
107,11,29,Kento MOMOTA,Lob,7,3,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
108,11,30,CHOU Tien Chen,Clear,10,8,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
109,11,31,Kento MOMOTA,Clear,10,5,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
110,11,32,CHOU Tien Chen,Smash,10,14,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
111,11,33,Kento MOMOTA,Smash Defence,11,15,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
112,11,34,CHOU Tien Chen,Lob,2,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
113,11,35,Kento MOMOTA,Clear,10,1,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
114,11,36,CHOU Tien Chen,Clear,10,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
115,11,37,Kento MOMOTA,Clear,11,5,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
116,11,38,CHOU Tien Chen,Clear,10,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
117,11,39,Kento MOMOTA,Clear,11,1,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
118,11,40,CHOU Tien Chen,Clear,6,4,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
119,11,41,Kento MOMOTA,Drop,11,30,"[7.0, 3.0]",CHOU Tien Chen,FC/FhL/BcL/No
120,12,1,CHOU Tien Chen,Serve short,10,18,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
121,12,2,Kento MOMOTA,Lob,14,1,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
122,12,3,CHOU Tien Chen,Clear,10,7,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
123,12,4,Kento MOMOTA,Smash,11,10,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
124,12,5,CHOU Tien Chen,Smash Defence,6,19,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
125,12,6,Kento MOMOTA,Lob,7,3,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
126,12,7,CHOU Tien Chen,Clear,10,3,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
127,12,8,Kento MOMOTA,Drive,10,10,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
128,12,9,CHOU Tien Chen,Drive,11,10,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
129,12,10,Kento MOMOTA,Smash Defence,7,15,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
130,12,11,CHOU Tien Chen,Lob,10,7,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
131,12,12,Kento MOMOTA,Drop,10,16,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
132,12,13,CHOU Tien Chen,Net Shot,10,22,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
133,12,14,Kento MOMOTA,Lob,7,1,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
134,12,15,CHOU Tien Chen,Clear,11,4,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
135,12,16,Kento MOMOTA,Clear,11,3,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
136,12,17,CHOU Tien Chen,Smash,10,14,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
137,12,18,Kento MOMOTA,Net Shot,7,18,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
138,12,19,CHOU Tien Chen,Push Shot,7,4,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
139,12,20,Kento MOMOTA,Clear,11,1,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
140,12,21,CHOU Tien Chen,Clear,10,1,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
141,12,22,Kento MOMOTA,Clear,11,4,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
142,12,23,CHOU Tien Chen,Smash,11,10,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
143,12,24,Kento MOMOTA,Net Shot,10,18,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
144,12,25,CHOU Tien Chen,Push Shot,4,7,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
145,12,26,Kento MOMOTA,Drop,10,20,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
146,12,27,CHOU Tien Chen,Push Shot,10,1,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
147,12,28,Kento MOMOTA,Drop,7,16,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
148,12,29,CHOU Tien Chen,Push Shot,11,4,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
149,12,30,Kento MOMOTA,Drop,10,13,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
150,12,31,CHOU Tien Chen,Push Shot,10,3,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
151,12,32,Kento MOMOTA,Drop,11,19,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
152,12,33,CHOU Tien Chen,Push Shot,10,4,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
153,12,34,Kento MOMOTA,Drop,7,29,"[7.0, 4.0]",CHOU Tien Chen,FC/FhL/BcL/No
154,13,1,CHOU Tien Chen,Serve short,15,19,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
155,13,2,Kento MOMOTA,Push Shot,11,3,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
156,13,3,CHOU Tien Chen,Clear,10,6,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
157,13,4,Kento MOMOTA,Drop,10,14,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
158,13,5,CHOU Tien Chen,Push Shot,7,3,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
159,13,6,Kento MOMOTA,Smash,7,6,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
160,13,7,CHOU Tien Chen,Smash Defence,10,19,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
161,13,8,Kento MOMOTA,Lob,4,3,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
162,13,9,CHOU Tien Chen,Clear,10,6,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
163,13,10,Kento MOMOTA,Drop,10,11,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
164,13,11,CHOU Tien Chen,Push Shot,11,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
165,13,12,Kento MOMOTA,Drop,6,17,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
166,13,13,CHOU Tien Chen,Push Shot,10,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
167,13,14,Kento MOMOTA,Drop,11,13,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
168,13,15,CHOU Tien Chen,Push Shot,10,2,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
169,13,16,Kento MOMOTA,Clear,11,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
170,13,17,CHOU Tien Chen,Drop,11,24,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
171,13,18,Kento MOMOTA,Lob,11,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
172,13,19,CHOU Tien Chen,Clear,10,8,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
173,13,20,Kento MOMOTA,Clear,11,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
174,13,21,CHOU Tien Chen,Clear,6,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
175,13,22,Kento MOMOTA,Clear,11,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
176,13,23,CHOU Tien Chen,Drop,10,24,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
177,13,24,Kento MOMOTA,Net Shot,11,19,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
178,13,25,CHOU Tien Chen,Push Shot,6,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
179,13,26,Kento MOMOTA,Drop,15,17,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
180,13,27,CHOU Tien Chen,Net Shot,10,23,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
181,13,28,Kento MOMOTA,Lob,7,3,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
182,13,29,CHOU Tien Chen,Drop,10,15,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
183,13,30,Kento MOMOTA,Net Shot,10,18,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
184,13,31,CHOU Tien Chen,Net Shot,7,24,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
185,13,32,Kento MOMOTA,Lob,15,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
186,13,33,CHOU Tien Chen,Smash,14,10,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
187,13,34,Kento MOMOTA,Smash Defence,7,20,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
188,13,35,CHOU Tien Chen,Push Shot,6,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
189,13,36,Kento MOMOTA,Clear,10,3,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
190,13,37,CHOU Tien Chen,Clear,11,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
191,13,38,Kento MOMOTA,Clear,6,1,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
192,13,39,CHOU Tien Chen,Smash,7,4,"[7.0, 5.0]",CHOU Tien Chen,FC/FhL/BcL/FCCD
193,14,1,CHOU Tien Chen,Serve short,14,14,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
194,14,2,Kento MOMOTA,Net Shot,10,17,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
195,14,3,CHOU Tien Chen,Net Shot,10,24,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
196,14,4,Kento MOMOTA,Lob,15,2,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
197,14,5,CHOU Tien Chen,Smash,18,11,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
198,14,6,Kento MOMOTA,Net Shot,11,15,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
199,14,7,CHOU Tien Chen,Push Shot,2,6,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
200,14,8,Kento MOMOTA,Clear,10,2,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
201,14,9,CHOU Tien Chen,Clear,11,4,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
202,14,10,Kento MOMOTA,Drop,11,17,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
203,14,11,CHOU Tien Chen,Net Shot,10,24,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
204,14,12,Kento MOMOTA,Lob,7,1,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
205,14,13,CHOU Tien Chen,Clear,10,4,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
206,14,14,Kento MOMOTA,Smash,11,9,"[7.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
207,15,1,Kento MOMOTA,Serve short,14,14,"[8.0, 6.0]",Kento MOMOTA,FCP
208,15,2,CHOU Tien Chen,Push Shot,10,3,"[8.0, 6.0]",Kento MOMOTA,FCP
209,15,3,Kento MOMOTA,Clear,15,1,"[8.0, 6.0]",Kento MOMOTA,FCP
210,15,4,CHOU Tien Chen,Clear,10,4,"[8.0, 6.0]",Kento MOMOTA,FCP
211,15,5,Kento MOMOTA,Drop,7,17,"[8.0, 6.0]",Kento MOMOTA,FCP
212,15,6,CHOU Tien Chen,Net Shot,10,24,"[8.0, 6.0]",Kento MOMOTA,FCP
213,15,7,Kento MOMOTA,Lob,7,1,"[8.0, 6.0]",Kento MOMOTA,FCP
214,15,8,CHOU Tien Chen,Clear,10,2,"[8.0, 6.0]",Kento MOMOTA,FCP
215,15,9,Kento MOMOTA,Drop,11,14,"[8.0, 6.0]",Kento MOMOTA,FCP
216,15,10,CHOU Tien Chen,Smash Defence,6,24,"[8.0, 6.0]",Kento MOMOTA,FCP
217,15,11,Kento MOMOTA,Net Shot,6,17,"[8.0, 6.0]",Kento MOMOTA,FCP
218,15,12,CHOU Tien Chen,Net Shot,10,24,"[8.0, 6.0]",Kento MOMOTA,FCP
219,15,13,Kento MOMOTA,Lob,15,1,"[8.0, 6.0]",Kento MOMOTA,FCP
220,15,14,CHOU Tien Chen,Smash,14,12,"[8.0, 6.0]",Kento MOMOTA,FCP
221,15,15,Kento MOMOTA,Smash Defence,11,18,"[8.0, 6.0]",Kento MOMOTA,FCP
222,15,16,CHOU Tien Chen,Net Shot,1,23,"[8.0, 6.0]",Kento MOMOTA,FCP
223,15,17,Kento MOMOTA,Lob,11,2,"[8.0, 6.0]",Kento MOMOTA,FCP
224,15,18,CHOU Tien Chen,Smash,14,23,"[8.0, 6.0]",Kento MOMOTA,FCP
225,16,1,Kento MOMOTA,Serve short,15,15,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
226,16,2,CHOU Tien Chen,Push Shot,11,3,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
227,16,3,Kento MOMOTA,Drop,15,15,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
228,16,4,CHOU Tien Chen,Smash Defence,10,17,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
229,16,5,Kento MOMOTA,Net Shot,10,19,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
230,16,6,CHOU Tien Chen,Net Shot,11,21,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
231,16,7,Kento MOMOTA,Lob,14,3,"[9.0, 6.0]",Kento MOMOTA,FC/FhL/BcL/FCCD
